OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00106100,ALASKA PACIFIC UNIVERSITY,AK,995084672,PRIVATE,34,39,345338,68,326900
00106200,SHELDON JACKSON COLLEGE,AK,998357699,PRIVATE,6,6,49212,9,49212
00106300,UNIVERSITY OF ALASKA FAIRBANKS,AK,997757500,PUBLIC,44,48,295509,77,251666
00106500,UNIVERSITY OF ALASKA SOUTHEAST,AK,998018680,PUBLIC,15,19,116172,36,112486
01146200,UNIVERSITY OF ALASKA ANCHORAGE,AK,995088050,PUBLIC,140,144,1207509,250,1115524
02541000,CAREER ACADEMY,AK,995071033,PROPRIETARY,1,1,9325,2,9325
02576900,CHARTER COLLEGE,AK,995084103,PROPRIETARY,2,2,3608,4,3608
03160300,ALASKA VOCATIONAL TECHNICAL CENTER,AK,996640889,PUBLIC,1,1,7006,2,7006
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,PUBLIC,553,622,4547115,1132,4311394
00100300,FAULKNER UNIVERSITY,AL,361093398,PRIVATE,87,97,594106,184,556831
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,PUBLIC,108,116,561809,219,539597
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,PUBLIC,301,352,2369184,606,2166530
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350110000,PUBLIC,2,2,5392,3,5392
00100900,AUBURN UNIVERSITY,AL,368495113,PUBLIC,1449,1861,18596045,3293,17510553
00101200,BIRMINGHAM SOUTHERN COLLEGE,AL,352540002,PRIVATE,135,156,1749425,296,1695370
00101300,JOHN C CALHOUN STATE COMMUNITY COLLEGE,AL,356092216,PUBLIC,9,9,31720,15,29720
00101500,ENTERPRISE STATE COMMUNITY COLLEGE,AL,363311300,PUBLIC,2,2,10970,3,6655
00101600,UNIVERSITY OF NORTH ALABAMA,AL,356320001,PUBLIC,122,133,676053,221,641626
