OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00206500,NOTRE DAME OF MARYLAND UNIVERSITY,MD,212102476,Private-Nonprofit,60,63,912401,117,912401,
00206700,WASHINGTON ADVENTIST UNIVERSITY,MD,209127796,Private-Nonprofit,141,142,1790291,269,1790291,
00206800,COPPIN STATE UNIVERSITY,MD,212163698,Public,108,110,1037270,217,1037270,
00207100,FREDERICK COMMUNITY COLLEGE,MD,217029745,Public,4,4,24277,6,24277,
00207200,FROSTBURG STATE UNIVERSITY,MD,215321099,Public,574,671,6098599,1159,6098599,
00207300,GOUCHER COLLEGE,MD,212042794,Private-Nonprofit,207,243,3794221,413,3794221,
00207400,HAGERSTOWN COMMUNITY COLLEGE,MD,217426514,Public,8,8,31852,22,31852,
00207500,HARFORD COMMUNITY COLLEGE,MD,210151696,Public,16,17,79411,32,79411,
00207600,HOOD COLLEGE,MD,217018575,Private-Nonprofit,202,213,3538588,384,3538588,
00207700,JOHNS HOPKINS UNIVERSITY,MD,212182693,Private-Nonprofit,364,400,9379359,760,9379359,
00207800,LOYOLA UNIVERSITY MARYLAND,MD,212102699,Private-Nonprofit,742,805,17923997,1514,17923997,
00208000,MARYLAND INSTITUTE COLLEGE OF ART,MD,212174191,Private-Nonprofit,314,335,8188114,618,8188114,
00208300,MORGAN STATE UNIVERSITY,MD,212510002,Public,999,1100,14026200,2189,14026200,
00208600,MOUNT SAINT MARY'S UNIVERSITY,MD,217277799,Private-Nonprofit,311,350,6584651,629,6584651,
00208900,PRINCE GEORGE'S COMMUNITY COLLEGE,MD,207742199,Public,13,13,58066,25,58066,
00209100,SALISBURY UNIVERSITY,MD,218016862,Public,1475,1647,19525419,2841,19525419,
00209200,ST. JOHN'S COLLEGE,MD,214011655,Private-Nonprofit,44,46,861648,86,861648,
00209300,SAINT JOHN'S COLLEGE,NM,875054599,Private-Nonprofit,33,36,603403,65,603403,
00209500,ST MARYS COLLEGE OF MARYLAND,MD,206863001,Public,351,356,4979579,675,4979579,
00209900,TOWSON UNIVERSITY,MD,212520002,Public,2835,3061,39625883,5378,39625883,
00210200,UNIVERSITY OF BALTIMORE,MD,212015779,Public,48,54,502828,84,502828,
00210300,"UNIVERSITY OF MARYLAND, COLLEGE PARK",MD,207425145,Public,1685,1969,29242101,3427,29242101,
00210400,"UNIVERSITY OF MARYLAND, BALTIMORE",MD,212011691,Public,26,26,374668,45,374668,
00210500,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,MD,212500002,Public,548,617,7434881,1078,7434881,
00210600,UNIVERSITY OF MARYLAND - EASTERN SHORE,MD,218531299,Public,748,813,8239047,1581,8239047,
00210700,STEVENSON UNIVERSITY,MD,211530641,Private-Nonprofit,880,907,16787462,1655,16787462,
00210800,WASHINGTON COLLEGE,MD,216201197,Private-Nonprofit,253,270,5993839,494,5993839,
00210900,MCDANIEL COLLEGE,MD,211574390,Private-Nonprofit,250,290,3866801,516,3866801,
00211400,AMERICAN INTERNATIONAL COLLEGE,MA,011093189,Private-Nonprofit,347,393,4408368,689,4408368,
00211500,AMHERST COLLEGE,MA,010025000,Private-Nonprofit,91,101,2616198,171,2616198,
