OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00180800,UNIVERSITY OF SOUTHERN INDIANA,IN,477123596,PUBLIC,863,1139,5596565,2059,5193883
00182700,PURDUE UNIVERSITY - CALUMET,IN,463232094,PUBLIC,350,372,2397640,670,2195239
00183000,ROSE - HULMAN INSTITUTE OF TECHNOLOGY,IN,478033999,PRIVATE,224,226,3772821,592,3480242
00184200,VALPARAISO UNIVERSITY,IN,463836493,PRIVATE,309,324,3704624,592,3513974
00961200,APEX ACADEMY OF HAIR DESIGN,IN,460161558,PROPRIETARY,0,0,0,0,0
00961300,MERRILLVILLE BEAUTY COLLEGE,IN,464103401,PROPRIETARY,0,0,0,0,0
01015100,VINCENNES BEAUTY COLLEGE,IN,475911297,PROPRIETARY,3,3,11300,4,7101
02158800,DON ROBERTS BEAUTY SCHOOL,IN,463854597,PROPRIETARY,0,0,0,0,0
02164300,DON ROBERTS SCHOOL OF HAIR DESIGN,IN,463759999,PROPRIETARY,8,8,36900,21,30232
02241700,PJ'S COLLEGE OF COSMETOLOGY,IN,471292204,PROPRIETARY,8,8,60820,11,60820
02304800,PJ'S COLLEGE OF COSMETOLOGY,IN,473743103,PROPRIETARY,3,4,30649,7,30649
02308900,MASTERS OF COSMETOLOGY COLLEGE,IN,468091305,PROPRIETARY,10,10,36753,10,33493
02339600,ROGERS ACADEMY OF HAIR DESIGN,IN,477125823,PROPRIETARY,6,6,17642,9,16810
02345200,EMPIRE BEAUTY SCHOOL,IN,462373249,PROPRIETARY,0,0,0,0,0
02490500,HAIR FASHIONS BY KAYE BEAUTY COLLEGE,IN,462501529,PROPRIETARY,4,4,17409,6,12190
02490800,HAIR FASHIONS BY KAYE BEAUTY COLLEGE,IN,460603128,PROPRIETARY,16,17,98312,32,90719
02607000,HAIR ARTS ACADEMY,IN,474043581,PROPRIETARY,7,7,44060,14,44060
03262300,DAVID DEMUTH INSTITUTE OF COSMETOLOGY,IN,473744101,PROPRIETARY,1,1,4102,2,2943
03456700,CROSSROADS BIBLE COLLEGE,IN,462194912,PRIVATE,5,5,21000,8,17000
03538300,ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS,IN,460010287,PROPRIETARY,17,17,156934,32,135829
04100300,SUCCESS SCHOOLS LLC,IN,464105310,PROPRIETARY,0,0,0,0,0
00190900,CLOUD COUNTY COMMUNITY COLLEGE,KS,669011002,PUBLIC,30,30,94903,51,81489
00192100,HIGHLAND COMMUNITY COLLEGE,KS,660354062,PUBLIC,69,69,223646,124,207700
00192300,HUTCHINSON COMMUNITY COLLEGE,KS,675015894,PUBLIC,67,67,243793,116,223034
00192800,KANSAS STATE UNIVERSITY,KS,665061104,PUBLIC,5,5,41559,9,41559
00192900,KANSAS WESLEYAN UNIVERSITY,KS,674016196,PRIVATE,124,125,990175,235,901045
00194000,SOUTHWESTERN COLLEGE,KS,671562499,PRIVATE,79,81,681100,131,638212
00194800,UNIVERSITY OF KANSAS,KS,660457535,PUBLIC,2521,2819,25858496,4835,24674198
00460800,BARTON COUNTY COMMUNITY COLLEGE,KS,675309283,PUBLIC,2,2,7000,4,7000
00549900,SALINA AREA TECHNICAL COLLEGE,KS,674018195,PUBLIC,6,6,33671,10,30451
00868200,ACADEMY OF HAIR DESIGN,KS,674012803,PROPRIETARY,11,12,44969,21,45149
02134800,OLD TOWN BARBER  COLLEGE,KS,672111693,PROPRIETARY,5,5,24082,8,24104
02196400,CUTTING EDGE HAIRSTYLING ACADEMY,KS,661023734,PROPRIETARY,14,14,70432,22,52963
02204900,AMERICAN ACADEMY OF HAIR DESIGN,KS,666112358,PROPRIETARY,10,11,60884,18,59133
02257700,HAYS ACADEMY OF HAIR DESIGN,KS,676013685,PROPRIETARY,13,16,108037,29,100526
02340700,LABARON HAIRDRESSING ACADEMY,KS,662043625,PROPRIETARY,5,5,25700,8,23000
02613000,PINNACLE CAREER INSTITUTE,KS,660462703,PROPRIETARY,40,45,230013,110,210661
03031300,XENON INTERNATIONAL ACADEMY IV,KS,660613765,PROPRIETARY,8,8,39299,15,39299
03450300,B-STREET DESIGN SCHOOL OF INTERNATIONAL HAIR STYLING - TOPEKA,KS,666112373,PROPRIETARY,33,33,171175,57,152786
03529300,SIDNEY'S HAIRDRESSING COLLEGE,KS,675017094,PROPRIETARY,7,7,44718,11,31372
00196800,KENTUCKY STATE UNIVERSITY,KY,406012355,PUBLIC,259,289,2004121,489,1848840
00197600,MOREHEAD STATE UNIVERSITY,KY,403511689,PUBLIC,322,379,1876660,657,1766248
00198900,UNIVERSITY OF KENTUCKY,KY,405060032,PUBLIC,1047,1081,11198059,2042,10494475
00461900,SULLIVAN UNIVERSITY,KY,402053000,PROPRIETARY,24,30,321870,59,279147
01042400,SALON PROFESSIONAL ACADEMY THE,KY,405021776,PROPRIETARY,1,1,5000,2,5000
01172500,COLLINS SCHOOL OF COSMETOLOGY,KY,409652809,PROPRIETARY,0,0,0,0,0
02279800,ELIZABETHTOWN BEAUTY SCHOOL,KY,427011833,PROPRIETARY,0,0,0,0,0
02337200,PJ'S COLLEGE OF COSMETOLOGY,KY,421013759,PROPRIETARY,22,22,190900,38,181975
02518900,BARRETT & COMPANY SCHOOL OF HAIR DESIGN,KY,403562152,PROPRIETARY,0,0,0,0,0
02551100,PJ'S COLLEGE OF COSMETOLOGY,KY,421412434,PROPRIETARY,11,11,110000,19,96798
03885300,EMPLOYMENT SOLUTIONS,KY,405173260,PRIVATE,0,0,0,0,0
00203200,XAVIER UNIVERSITY OF LOUISIANA,LA,701251098,PRIVATE,245,250,3713833,432,3153109
00768600,SOUTHERN UNIVERSITY AT SHREVEPORT - BOSSIER CITY,LA,711074795,PUBLIC,1,1,2000,1,2030
01287900,PAT GOINS BENTON ROAD BEAUTY SCHOOL,LA,711114838,PROPRIETARY,0,0,0,0,0
01288000,PAT GOINS BEAUTY SCHOOL,LA,712015167,PROPRIETARY,1,1,3024,1,3024
02166100,ELAINE P. NUNEZ COMMUNITY COLLEGE,LA,700431249,PUBLIC,7,7,34047,7,17025
02197500,BATON ROUGE SCHOOL OF COMPUTERS,LA,708168188,PROPRIETARY,13,14,91692,28,87854
02358600,STAGE ONE HAIR SCHOOL,LA,706051625,PROPRIETARY,7,7,22100,12,22100
02536400,LOUISIANA ACADEMY OF BEAUTY,LA,705353512,PROPRIETARY,3,3,13600,6,13600
02538300,DELTA COLLEGE OF ARTS & TECHNOLOGY,LA,708061529,PROPRIETARY,13,13,107311,25,97480
02548500,COSMETOLOGY TRAINING CENTER,LA,705033238,PROPRIETARY,2,2,7000,3,5249
02582200,"GUY'S ACADEMY HAIR, SKIN & NAILS",LA,711052404,PROPRIETARY,15,15,100351,28,95858
02601100,OPELOUSAS SCHOOL OF COSMETOLOGY,LA,705706156,PROPRIETARY,0,0,0,0,0
02617100,BATON ROUGE COLLEGE,LA,708162246,PROPRIETARY,2,2,6812,2,4854
03010400,CRESCENT CITY SCHOOL OF GAMING & BARTENDING,LA,701195507,PROPRIETARY,4,4,5231,7,5245
03095100,GRETNA CAREER COLLEGE,LA,700532436,PROPRIETARY,7,7,19063,12,11235
03253300,JONESVILLE BEAUTY SCHOOL,LA,713730518,PROPRIETARY,2,2,15384,4,15384
03322300,CULINARY INSTITUTE OF NEW ORLEANS,LA,701307100,PROPRIETARY,3,3,23352,3,20352
03332600,DELTA COLLEGE,LA,704339042,PROPRIETARY,13,13,79582,22,58018
03356300,MEDICAL TRAINING COLLEGE,LA,708168190,PROPRIETARY,17,17,90558,31,78574
03789300,UNITECH TRAINING ACADEMY,LA,705035132,PROPRIETARY,42,42,190914,80,172361
00211500,AMHERST COLLEGE,MA,010025000,PRIVATE,151,162,2680934,310,2598874
00212200,BAY PATH COLLEGE,MA,011062212,PRIVATE,0,0,0,0,0
00212600,BERKLEE COLLEGE OF MUSIC,MA,022153693,PRIVATE,509,610,11489977,1070,11170893
00213000,BOSTON UNIVERSITY,MA,022151789,PRIVATE,1812,2025,34900900,3933,33915242
00213300,BRANDEIS UNIVERSITY,MA,024532700,PRIVATE,276,286,4765340,561,4633146
00215100,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,MA,021166296,PUBLIC,139,139,1141729,253,972128
00215500,HARVARD UNIVERSITY,MA,021383800,PRIVATE,465,485,9359590,938,9025199
00216100,UNIVERSITY OF MASSACHUSETTS - LOWELL,MA,018542881,PUBLIC,496,537,3447355,935,3325304
00216400,NEW ENGLAND COLLEGE OF OPTOMETRY (THE),MA,021151129,PRIVATE,0,0,0,0,0
00217000,HOLYOKE COMMUNITY COLLEGE,MA,010401099,PUBLIC,7,9,20355,12,20355
00217500,QUINSIGAMOND COMMUNITY COLLEGE,MA,016062092,PUBLIC,0,0,0,0,0
00217800,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,021394307,PRIVATE,293,313,5691020,586,5486808
00218000,MASSACHUSETTS COLLEGE OF ART AND DESIGN,MA,021155803,PUBLIC,241,259,3165763,485,3043033
00218100,MASSACHUSETTS MARITIME ACADEMY,MA,025323400,PUBLIC,101,101,903520,178,842701
