UNITID,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFA2,SCFA2,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XSCFY2,SCFY2,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XTOTGRNT,TOTGRNT,XTSTDPEL,TSTDPEL,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_A,FGRNT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_A,LOAN_A,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_A,AGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_A,OFGRT_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_A,OLOAN_A,XSCUGFFN,SCUGFFN,XSCUGRAD,SCUGRAD,XSCUGFFP,SCUGFFP 
181604,"R",93,"R",11,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",818,"A",,"A",,"A",,"R",92,"R",99,"R",5307126,"R",417,"R",60,"R",65,"R",3919,"R",40,"R",43,"R",1261,"R",92,"R",99,"R",8436,"R",86,"R",92,"R",6514,"R",92,"R",99,"R",11540,"R",60,"R",65,"R",2992,"R",46,"R",49,"R",1209,"R",86,"R",92,"R",4626,"R",15,"R",16,"R",10830,"R",93,"R",818,"R",11
181640,"R",1418,"R",15,"R",1004,"R",71,"R",349,"R",25,"R",65,"R",5,"Z",0,"Z",0,"R",9603,"A",,"A",,"A",,"R",1082,"R",76,"R",10559984,"R",3615,"R",458,"R",32,"R",3179,"R",188,"R",13,"R",458,"R",152,"R",11,"R",731,"R",940,"R",66,"R",3297,"R",459,"R",32,"R",3602,"R",451,"R",32,"R",2706,"R",199,"R",14,"R",1184,"R",938,"R",66,"R",3145,"R",25,"R",2,"R",5968,"R",1418,"R",9603,"R",15
181738,"R",164,"R",17,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",938,"A",,"A",,"A",,"R",164,"R",100,"R",4270483,"R",274,"R",62,"R",38,"R",2567,"R",3,"R",2,"R",1930,"R",156,"R",95,"R",4700,"R",112,"R",68,"R",5276,"R",164,"R",100,"R",5476,"R",61,"R",37,"R",2130,"R",39,"R",24,"R",750,"R",112,"R",68,"R",3500,"R",25,"R",15,"R",7958,"R",164,"R",938,"R",17
181756,"R",337,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",471,"A",,"A",,"A",,"R",327,"R",97,"R",1057888,"R",313,"R",224,"R",66,"C",2583,"R",103,"R",31,"R",1580,"R",25,"R",7,"R",618,"R",325,"R",96,"R",6209,"R",224,"R",66,"R",3379,"R",224,"R",66,"R",2411,"R",82,"R",24,"R",469,"R",325,"R",96,"R",6034,"R",28,"R",8,"R",2033,"R",337,"R",471,"R",72
181765,"R",95,"R",29,"Z",0,"Z",0,"R",64,"R",67,"R",31,"R",33,"Z",0,"Z",0,"R",327,"A",,"A",,"A",,"R",79,"R",83,"R",443745,"R",114,"R",41,"R",43,"R",3371,"R",26,"R",27,"R",554,"R",79,"R",83,"R",1704,"R",54,"R",57,"R",3269,"R",79,"R",83,"R",3636,"R",41,"R",43,"R",3125,"R",23,"R",24,"R",439,"R",53,"R",56,"R",3260,"R",1,"R",1,"R",3790,"R",95,"R",327,"R",29
181783,"R",654,"R",23,"Z",0,"Z",0,"R",518,"R",79,"R",136,"R",21,"Z",0,"Z",0,"R",2802,"A",,"A",,"A",,"R",605,"R",93,"R",16646255,"R",992,"R",224,"R",34,"R",3266,"R",429,"R",66,"R",2230,"R",199,"R",30,"R",1825,"R",453,"R",69,"R",4310,"R",519,"R",79,"R",3953,"R",224,"R",34,"R",2737,"R",148,"R",23,"R",801,"R",451,"R",69,"R",3714,"R",50,"R",8,"R",5548,"R",654,"R",2802,"R",23
181817,"R",383,"R",17,"Z",0,"Z",0,"R",297,"R",78,"R",86,"R",22,"Z",0,"Z",0,"R",2233,"A",,"A",,"A",,"R",340,"R",89,"R",1871989,"R",733,"R",177,"R",46,"R",3130,"R",48,"R",13,"R",958,"R",225,"R",59,"R",2067,"R",112,"R",29,"R",2905,"R",307,"R",80,"R",3469,"R",169,"R",44,"R",2623,"R",57,"R",15,"R",1944,"R",110,"R",29,"R",2881,"R",2,"R",1,"R",4242,"R",383,"R",2233,"R",17
181853,"R",97,"R",24,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",404,"A",,"A",,"A",,"R",97,"R",100,"R",3748078,"R",138,"R",37,"R",38,"R",3912,"R",14,"R",14,"R",614,"R",96,"R",99,"R",5934,"R",74,"R",76,"R",4919,"R",97,"R",100,"R",7453,"R",37,"R",38,"R",3056,"R",35,"R",36,"R",905,"R",74,"R",76,"R",4155,"R",8,"R",8,"R",7069,"R",97,"R",404,"R",24
181880,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",164,"R",71,"R",232,"R",112,"R",68,"R",201818,"R",99,"R",66,"R",40,"R",2017,"R",3,"R",2,"R",534,"R",13,"R",8,"R",1948,"R",87,"R",53,"R",6281,"R",73,"R",45,"R",2192,"R",66,"R",40,"R",2017,"Z",0,"Z",0,"A",,"R",81,"R",49,"R",6549,"R",6,"R",4,"R",2677,"R",164,"R",232,"R",71
181941,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",328,"R",78,"R",423,"R",222,"R",68,"R",2789140,"R",325,"R",183,"R",56,"R",1984,"R",23,"R",7,"R",259,"Z",0,"Z",0,"A",,"R",222,"R",68,"R",4770,"R",183,"R",56,"R",2016,"R",183,"R",56,"R",1845,"R",100,"R",30,"R",254,"R",222,"R",68,"R",4770,"Z",0,"Z",0,"A",,"R",328,"R",423,"R",78
