UNITID,XSCFA1N,SCFA1N,XSCFA1P,SCFA1P,XSCFA11N,SCFA11N,XSCFA11P,SCFA11P,XSCFA12N,SCFA12N,XSCFA12P,SCFA12P,XSCFA13N,SCFA13N,XSCFA13P,SCFA13P,XSCFA14N,SCFA14N,XSCFA14P,SCFA14P,XSCFA2,SCFA2,XSCFY1N,SCFY1N,XSCFY1P,SCFY1P,XSCFY2,SCFY2,XANYAIDN,ANYAIDN,XANYAIDP,ANYAIDP,XTOTGRNT,TOTGRNT,XTSTDPEL,TSTDPEL,XFGRNT_N,FGRNT_N,XFGRNT_P,FGRNT_P,XFGRNT_A,FGRNT_A,XSGRNT_N,SGRNT_N,XSGRNT_P,SGRNT_P,XSGRNT_A,SGRNT_A,XIGRNT_N,IGRNT_N,XIGRNT_P,IGRNT_P,XIGRNT_A,IGRNT_A,XLOAN_N,LOAN_N,XLOAN_P,LOAN_P,XLOAN_A,LOAN_A,XAGRNT_N,AGRNT_N,XAGRNT_P,AGRNT_P,XAGRNT_A,AGRNT_A,XPGRNT_N,PGRNT_N,XPGRNT_P,PGRNT_P,XPGRNT_A,PGRNT_A,XOFGRT_N,OFGRT_N,XOFGRT_P,OFGRT_P,XOFGRT_A,OFGRT_A,XFLOAN_N,FLOAN_N,XFLOAN_P,FLOAN_P,XFLOAN_A,FLOAN_A,XOLOAN_N,OLOAN_N,XOLOAN_P,OLOAN_P,XOLOAN_A,OLOAN_A,XSCUGFFN,SCUGFFN,XSCUGRAD,SCUGRAD,XSCUGFFP,SCUGFFP 
100654,"R",882,"R",19,"R",107,"R",12,"R",430,"R",49,"R",345,"R",39,"Z",0,"Z",0,"R",4716,"A",,"A",,"A",,"R",815,"R",92,"R",17473759,"R",1607,"R",307,"R",35,"R",3060,"R",93,"R",11,"R",1443,"R",209,"R",24,"R",6600,"R",85,"R",10,"R",3512,"R",620,"R",70,"R",3956,"R",270,"R",31,"R",3386,"R",37,"R",4,"R",679,"R",83,"R",9,"R",3290,"R",2,"R",0,"R",12750,"R",882,"R",4716,"R",19
100663,"R",1392,"R",13,"Z",0,"Z",0,"R",1209,"R",87,"R",183,"R",13,"Z",0,"Z",0,"R",10796,"A",,"A",,"A",,"R",1075,"R",77,"R",24201973,"R",3074,"R",386,"R",28,"R",3738,"R",113,"R",8,"R",983,"R",532,"R",38,"R",5937,"R",587,"R",42,"R",4765,"R",802,"R",58,"R",5876,"R",385,"R",28,"R",3240,"R",130,"R",9,"R",1504,"R",583,"R",42,"R",4263,"R",38,"R",3,"R",8203,"R",1392,"R",10796,"R",13
100690,"R",3,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",343,"A",,"A",,"A",,"R",3,"R",100,"R",682109,"R",235,"R",3,"R",100,"R",3993,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",3,"R",100,"R",5167,"R",3,"R",100,"R",3993,"R",3,"R",100,"R",3327,"R",3,"R",100,"R",667,"R",3,"R",100,"R",3500,"R",1,"R",33,"R",5000,"R",3,"R",343,"R",1
100706,"R",759,"R",13,"Z",0,"Z",0,"R",649,"R",86,"R",110,"R",14,"Z",0,"Z",0,"R",5751,"A",,"A",,"A",,"R",619,"R",82,"R",10504180,"R",1393,"R",175,"R",23,"R",3661,"R",20,"R",3,"R",974,"R",478,"R",63,"R",3468,"R",288,"R",38,"R",4863,"R",553,"R",73,"R",4192,"R",175,"R",23,"R",3156,"R",82,"R",11,"R",1078,"R",288,"R",38,"R",4789,"R",2,"R",0,"R",10726,"R",759,"R",5751,"R",13
100724,"R",1351,"R",29,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1351,"R",100,"R",4647,"A",,"A",,"A",,"R",1020,"R",75,"R",21591067,"R",2891,"R",684,"R",51,"R",3885,"R",178,"R",13,"R",1469,"R",393,"R",29,"R",5501,"R",753,"R",56,"R",5005,"R",804,"R",60,"R",6320,"R",684,"R",51,"R",3430,"R",346,"R",26,"R",898,"R",750,"R",56,"R",4877,"R",19,"R",1,"R",5851,"R",1351,"R",4647,"R",29
100751,"R",4493,"R",21,"Z",0,"Z",0,"R",3070,"R",68,"R",1423,"R",32,"Z",0,"Z",0,"R",21081,"A",,"A",,"A",,"R",2995,"R",67,"R",13216165,"R",3673,"R",579,"R",13,"R",3692,"R",166,"R",4,"R",633,"R",1891,"R",42,"R",5803,"R",1701,"R",38,"R",5477,"R",2214,"R",49,"R",5969,"R",579,"R",13,"R",2989,"R",414,"R",9,"R",983,"R",1679,"R",37,"R",3973,"R",222,"R",5,"R",11917,"R",4493,"R",21081,"R",21
100760,"R",444,"R",20,"Z",0,"Z",0,"R",428,"R",96,"R",6,"R",1,"R",10,"R",2,"R",2177,"A",,"A",,"A",,"R",400,"R",90,"R",9649699,"R",1425,"R",237,"R",53,"R",3067,"R",47,"R",11,"R",823,"R",259,"R",58,"R",2595,"R",90,"R",20,"R",3577,"R",400,"R",90,"R",3594,"R",222,"R",50,"R",3144,"R",22,"R",5,"R",1322,"R",90,"R",20,"R",3577,"Z",0,"Z",0,"A",,"R",444,"R",2177,"R",20
100812,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3072,"A",,"A",,"A",,"A",,"A",,"R",1745,"R",920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"R",3072,"A",
100830,"R",535,"R",12,"Z",0,"Z",0,"R",513,"R",96,"R",22,"R",4,"Z",0,"Z",0,"R",4353,"A",,"A",,"A",,"R",381,"R",71,"R",6386305,"R",1342,"R",266,"R",50,"R",2808,"R",155,"R",29,"R",854,"R",162,"R",30,"R",2330,"R",355,"R",66,"R",3174,"R",381,"R",71,"R",3299,"R",214,"R",40,"R",3340,"R",52,"R",10,"R",619,"R",355,"R",66,"R",3174,"Z",0,"Z",0,"A",,"R",535,"R",4353,"R",12
100858,"R",4160,"R",21,"Z",0,"Z",0,"R",2381,"R",57,"R",1779,"R",43,"Z",0,"Z",0,"R",19812,"A",,"A",,"A",,"R",2615,"R",63,"R",107302296,"R",2658,"R",575,"R",14,"R",5122,"R",177,"R",4,"R",4230,"R",1557,"R",37,"R",5418,"R",1294,"R",31,"R",8580,"R",1911,"R",46,"R",6348,"R",496,"R",12,"R",4215,"R",84,"R",2,"R",10172,"R",1294,"R",31,"R",8580,"Z",0,"Z",0,"A",,"R",4160,"R",19812,"R",21
100937,"R",450,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1339,"A",,"A",,"A",,"R",440,"R",98,"R",20005053,"R",243,"R",73,"R",16,"R",5011,"R",194,"R",43,"R",587,"R",427,"R",95,"R",15353,"R",181,"R",40,"R",6586,"R",427,"R",95,"R",16476,"R",72,"R",16,"R",3480,"R",60,"R",13,"R",1922,"R",180,"R",40,"R",5949,"R",11,"R",2,"R",11018,"R",450,"R",1339,"R",34
101028,"R",256,"R",13,"R",85,"R",33,"R",161,"R",63,"R",10,"R",4,"Z",0,"Z",0,"R",1929,"A",,"A",,"A",,"R",218,"R",85,"R",3462068,"R",1093,"R",214,"R",84,"R",3132,"R",111,"R",43,"R",2214,"R",7,"R",3,"R",879,"R",80,"R",31,"R",3379,"R",218,"R",85,"R",4230,"R",200,"R",78,"R",3223,"R",56,"R",22,"R",458,"R",80,"R",31,"R",3379,"Z",0,"Z",0,"A",,"R",256,"R",1929,"R",13
101073,"R",286,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",539,"A",,"A",,"A",,"R",280,"R",98,"R",2120000,"R",440,"R",242,"R",85,"R",3916,"R",180,"R",63,"R",252,"R",110,"R",38,"R",1800,"R",242,"R",85,"R",3475,"R",242,"R",85,"R",4922,"R",242,"R",85,"R",3484,"R",242,"R",85,"R",432,"R",242,"R",85,"R",3475,"Z",0,"Z",0,"A",,"R",286,"R",539,"R",53
101116,"R",55,"R",11,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",504,"A",,"A",,"A",,"R",54,"R",98,"R",1017872,"R",412,"R",42,"R",76,"R",3290,"R",9,"R",16,"R",1611,"R",2,"R",4,"R",2619,"R",54,"R",98,"R",8646,"R",44,"R",80,"R",3589,"R",42,"R",76,"R",3147,"R",9,"R",16,"R",667,"R",52,"R",95,"R",7237,"R",28,"R",51,"R",3235,"R",55,"R",504,"R",11
101143,"R",427,"R",19,"Z",0,"Z",0,"R",412,"R",96,"R",15,"R",4,"Z",0,"Z",0,"R",2190,"A",,"A",,"A",,"R",331,"R",78,"R",4870635,"R",627,"R",226,"R",53,"R",1669,"R",84,"R",20,"R",1258,"R",60,"R",14,"R",1039,"R",76,"R",18,"R",1554,"R",331,"R",78,"R",1647,"R",159,"R",37,"R",1601,"R",114,"R",27,"R",1076,"R",76,"R",18,"R",1554,"Z",0,"Z",0,"A",,"R",427,"R",2190,"R",19
101161,"R",875,"R",24,"Z",0,"Z",0,"R",852,"R",97,"R",23,"R",3,"Z",0,"Z",0,"R",3613,"A",,"A",,"A",,"R",676,"R",77,"R",3221591,"R",676,"R",389,"R",44,"R",3371,"R",490,"R",56,"R",3203,"R",126,"R",14,"R",2702,"Z",0,"Z",0,"A",,"R",676,"R",77,"R",4765,"R",389,"R",44,"R",3371,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",875,"R",3613,"R",24
101189,"R",314,"R",13,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2482,"A",,"A",,"A",,"R",309,"R",98,"R",6354000,"R",1780,"R",163,"R",52,"R",3902,"R",194,"R",62,"R",1095,"R",289,"R",92,"R",4297,"R",226,"R",72,"R",6223,"R",309,"R",98,"R",6765,"R",163,"R",52,"R",2701,"R",123,"R",39,"R",1591,"R",219,"R",70,"R",6237,"R",7,"R",2,"R",5772,"R",314,"R",2482,"R",13
101240,"R",1168,"R",21,"Z",0,"Z",0,"R",1118,"R",96,"R",50,"R",4,"Z",0,"Z",0,"R",5514,"A",,"A",,"A",,"R",896,"R",77,"R",7114783,"R",2795,"R",679,"R",58,"R",3662,"R",132,"R",11,"R",716,"R",325,"R",28,"R",2294,"R",19,"R",2,"R",3446,"R",896,"R",77,"R",3712,"R",525,"R",45,"R",3359,"R",377,"R",32,"R",1917,"Z",0,"Z",0,"A",,"R",19,"R",2,"R",3446,"R",1168,"R",5514,"R",21
101286,"R",706,"R",19,"Z",0,"Z",0,"R",686,"R",97,"R",20,"R",3,"Z",0,"Z",0,"R",3707,"A",,"A",,"A",,"R",498,"R",71,"R",1463352,"R",333,"R",333,"R",47,"R",2893,"R",278,"R",39,"R",1799,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",498,"R",71,"R",2938,"R",333,"R",47,"R",2893,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",706,"R",3707,"R",19
101295,"R",934,"R",18,"Z",0,"Z",0,"R",867,"R",93,"R",67,"R",7,"Z",0,"Z",0,"R",5247,"A",,"A",,"A",,"R",586,"R",63,"R",3547706,"R",1581,"R",412,"R",44,"R",3081,"R",97,"R",10,"R",1759,"R",58,"R",6,"R",925,"R",264,"R",28,"R",2952,"R",567,"R",61,"R",2634,"R",412,"R",44,"R",3081,"Z",0,"Z",0,"A",,"R",264,"R",28,"R",2952,"Z",0,"Z",0,"A",,"R",934,"R",5247,"R",18
101301,"R",360,"R",20,"Z",0,"Z",0,"R",360,"R",100,"Z",0,"Z",0,"Z",0,"Z",0,"R",1781,"A",,"A",,"A",,"R",322,"R",89,"R",5679671,"R",1526,"R",298,"R",83,"R",3441,"R",105,"R",29,"R",1007,"R",97,"R",27,"R",1553,"Z",0,"Z",0,"A",,"R",322,"R",89,"R",3981,"R",298,"R",83,"R",3324,"R",35,"R",10,"R",992,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",360,"R",1781,"R",20
101365,"R",30,"R",6,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",480,"A",,"A",,"A",,"R",30,"R",100,"R",801784,"R",240,"R",23,"R",77,"R",3365,"R",11,"R",37,"R",618,"Z",0,"Z",0,"A",,"R",29,"R",97,"R",8681,"R",23,"R",77,"R",3660,"R",23,"R",77,"R",3132,"R",6,"R",20,"R",892,"R",29,"R",97,"R",8681,"Z",0,"Z",0,"A",,"R",30,"R",480,"R",6
101435,"R",255,"R",27,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",954,"A",,"A",,"A",,"R",255,"R",100,"R",13758517,"R",270,"R",86,"R",34,"R",3877,"R",177,"R",69,"R",758,"R",255,"R",100,"R",8214,"R",184,"R",72,"R",8283,"R",255,"R",100,"R",10047,"R",86,"R",34,"R",2789,"R",82,"R",32,"R",1141,"R",184,"R",72,"R",7833,"R",10,"R",4,"R",8277,"R",255,"R",954,"R",27
101453,"R",3,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",88,"A",,"A",,"A",,"R",3,"R",100,"R",109094,"R",18,"R",3,"R",100,"R",4310,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",1,"R",33,"R",3500,"R",3,"R",100,"R",4310,"R",3,"R",100,"R",4310,"Z",0,"Z",0,"A",,"R",1,"R",33,"R",3500,"Z",0,"Z",0,"A",,"R",3,"R",88,"R",3
101462,"R",134,"R",19,"Z",0,"Z",0,"R",126,"R",94,"R",8,"R",6,"Z",0,"Z",0,"R",694,"A",,"A",,"A",,"R",113,"R",84,"R",1509672,"R",598,"R",97,"R",72,"R",3283,"R",23,"R",17,"R",1722,"R",22,"R",16,"R",1970,"Z",0,"Z",0,"A",,"R",113,"R",84,"R",3552,"R",97,"R",72,"R",3283,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",134,"R",694,"R",19
101471,"R",261,"R",38,"Z",0,"Z",0,"R",261,"R",100,"Z",0,"Z",0,"Z",0,"Z",0,"R",689,"A",,"A",,"A",,"R",261,"R",100,"R",744120,"Z",0,"Z",0,"Z",0,"A",,"R",261,"R",100,"R",2160,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",261,"R",100,"R",2160,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",261,"R",689,"R",38
101480,"R",1252,"R",17,"Z",0,"Z",0,"R",922,"R",74,"R",330,"R",26,"Z",0,"Z",0,"R",7485,"A",,"A",,"A",,"R",1077,"R",86,"R",9816423,"R",2870,"R",568,"R",45,"R",3382,"R",366,"R",29,"R",953,"R",306,"R",24,"R",4651,"R",795,"R",63,"R",5184,"R",847,"R",68,"R",4360,"R",568,"R",45,"R",3195,"R",176,"R",14,"R",604,"R",792,"R",63,"R",4968,"R",40,"R",3,"R",4660,"R",1252,"R",7485,"R",17
101499,"R",304,"R",24,"Z",0,"Z",0,"R",272,"R",89,"R",32,"R",11,"Z",0,"Z",0,"R",1257,"A",,"A",,"A",,"R",279,"R",92,"R",3632796,"R",676,"R",102,"R",34,"R",3335,"R",157,"R",52,"R",2376,"R",54,"R",18,"R",2256,"Z",0,"Z",0,"A",,"R",279,"R",92,"R",2993,"R",102,"R",34,"R",3335,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",304,"R",1257,"R",24
101505,"R",919,"R",12,"Z",0,"Z",0,"R",881,"R",96,"R",38,"R",4,"Z",0,"Z",0,"R",7944,"A",,"A",,"A",,"R",485,"R",53,"R",1775917,"R",1145,"R",236,"R",26,"R",3433,"R",153,"R",17,"R",1123,"R",137,"R",15,"R",2699,"R",148,"R",16,"R",2867,"R",369,"R",40,"R",3663,"R",231,"R",25,"R",2904,"R",176,"R",19,"R",791,"R",147,"R",16,"R",2882,"R",1,"R",0,"R",612,"R",919,"R",7944,"R",12
101514,"R",1191,"R",13,"Z",0,"Z",0,"R",1171,"R",98,"R",20,"R",2,"Z",0,"Z",0,"R",9117,"A",,"A",,"A",,"R",757,"R",64,"R",3397845,"R",2280,"R",485,"R",41,"R",1532,"R",10,"R",1,"R",800,"R",70,"R",6,"R",817,"R",12,"R",1,"R",3139,"R",565,"R",47,"R",1430,"R",430,"R",36,"R",1681,"R",55,"R",5,"R",365,"R",12,"R",1,"R",3139,"Z",0,"Z",0,"A",,"R",1191,"R",9117,"R",13
101541,"R",79,"R",25,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",311,"A",,"A",,"A",,"R",79,"R",100,"R",1990056,"R",108,"R",31,"R",39,"R",3779,"R",61,"R",77,"R",928,"R",79,"R",100,"R",6023,"R",55,"R",70,"R",4074,"R",79,"R",100,"R",8223,"R",31,"R",39,"R",3107,"R",27,"R",34,"R",771,"R",54,"R",68,"R",3825,"R",3,"R",4,"R",5833,"R",79,"R",311,"R",25
101569,"R",632,"R",19,"R",623,"R",99,"Z",0,"Z",0,"R",9,"R",1,"Z",0,"Z",0,"R",3320,"A",,"A",,"A",,"R",531,"R",84,"R",14258418,"R",2630,"R",425,"R",67,"R",3165,"R",31,"R",5,"R",398,"R",62,"R",10,"R",1589,"Z",0,"Z",0,"A",,"R",512,"R",81,"R",2844,"R",353,"R",56,"R",3400,"R",72,"R",11,"R",2015,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",632,"R",3320,"R",19
101587,"R",348,"R",19,"Z",0,"Z",0,"R",314,"R",90,"R",34,"R",10,"R",0,"Z",0,"R",1827,"A",,"A",,"A",,"R",341,"R",98,"R",115920915,"R",1059,"R",160,"R",46,"R",3588,"R",34,"R",10,"R",738,"R",181,"R",52,"R",3052,"R",264,"R",76,"R",3708,"R",306,"R",88,"R",3763,"R",160,"R",46,"R",3451,"R",39,"R",11,"R",564,"R",245,"R",70,"R",3674,"R",50,"R",14,"R",1576,"R",348,"R",1827,"R",19
101602,"R",383,"R",24,"R",15,"R",4,"R",358,"R",93,"R",10,"R",3,"Z",0,"Z",0,"R",1593,"A",,"A",,"A",,"R",339,"R",89,"R",2095918,"R",700,"R",268,"R",70,"R",1503,"R",48,"R",13,"R",1048,"R",252,"R",66,"R",913,"Z",0,"Z",0,"A",,"R",339,"R",89,"R",2015,"R",224,"R",58,"R",1760,"R",44,"R",11,"R",200,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",383,"R",1593,"R",24
101648,"R",232,"R",58,"Z",0,"Z",0,"R",60,"R",26,"R",172,"R",74,"Z",0,"Z",0,"R",397,"A",,"A",,"A",,"R",224,"R",97,"R",2197093,"R",62,"R",86,"R",37,"R",6843,"R",18,"R",8,"R",750,"R",193,"R",83,"R",7067,"R",76,"R",33,"R",3650,"R",222,"R",96,"R",8855,"R",62,"R",27,"R",3446,"R",79,"R",34,"R",4745,"R",76,"R",33,"R",3650,"Z",0,"Z",0,"A",,"R",232,"R",397,"R",58
101675,"R",599,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1814,"A",,"A",,"A",,"R",587,"R",98,"R",8775221,"R",1621,"R",587,"R",98,"R",4033,"R",152,"R",25,"R",624,"R",124,"R",21,"R",4886,"R",157,"R",26,"R",5500,"R",587,"R",98,"R",5226,"R",587,"R",98,"R",3770,"R",587,"R",98,"R",263,"R",157,"R",26,"R",5500,"Z",0,"Z",0,"A",,"R",599,"R",1814,"R",33
101693,"R",208,"R",15,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1346,"A",,"A",,"A",,"R",199,"R",96,"R",9188649,"R",369,"R",53,"R",25,"R",1835,"R",112,"R",54,"R",400,"R",198,"R",95,"R",4180,"R",114,"R",55,"R",2310,"R",199,"R",96,"R",4873,"R",52,"R",25,"R",1525,"R",43,"R",21,"R",417,"R",111,"R",53,"R",1947,"R",11,"R",5,"R",4291,"R",208,"R",1346,"R",15
101709,"R",482,"R",19,"Z",0,"Z",0,"R",463,"R",96,"R",19,"R",4,"Z",0,"Z",0,"R",2513,"A",,"A",,"A",,"R",375,"R",78,"R",3832596,"R",114,"R",114,"R",24,"R",3756,"R",18,"R",4,"R",1128,"R",267,"R",55,"R",4907,"R",208,"R",43,"R",4696,"R",318,"R",66,"R",5530,"R",114,"R",24,"R",3104,"R",72,"R",15,"R",1032,"R",207,"R",43,"R",4553,"R",5,"R",1,"R",6862,"R",482,"R",2513,"R",19
101736,"R",636,"R",17,"Z",0,"Z",0,"R",628,"R",99,"R",8,"R",1,"Z",0,"Z",0,"R",3678,"A",,"A",,"A",,"R",530,"R",83,"R",6748687,"R",1787,"R",338,"R",53,"R",3263,"R",185,"R",29,"R",1071,"R",206,"R",32,"R",2379,"R",136,"R",21,"R",3124,"R",504,"R",79,"R",3554,"R",330,"R",52,"R",3208,"R",81,"R",13,"R",547,"R",136,"R",21,"R",3124,"Z",0,"Z",0,"A",,"R",636,"R",3678,"R",17
101879,"R",1023,"R",18,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1023,"R",100,"R",5768,"A",,"A",,"A",,"R",662,"R",65,"R",9237918,"R",307,"R",307,"R",30,"R",4110,"R",56,"R",5,"R",1962,"R",368,"R",36,"R",2855,"R",424,"R",41,"R",4607,"R",590,"R",58,"R",4106,"R",307,"R",30,"R",3742,"R",233,"R",23,"R",485,"R",409,"R",40,"R",4582,"R",15,"R",1,"R",5284,"R",1023,"R",5768,"R",18
101897,"R",491,"R",20,"R",491,"R",100,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2513,"A",,"A",,"A",,"R",443,"R",90,"R",4174790,"R",1303,"R",393,"R",80,"R",2458,"R",280,"R",57,"R",1029,"R",138,"R",28,"R",2829,"R",110,"R",22,"R",2571,"R",443,"R",90,"R",3712,"R",364,"R",74,"R",2630,"R",29,"R",6,"R",300,"R",110,"R",22,"R",2571,"Z",0,"Z",0,"A",,"R",491,"R",2513,"R",20
101912,"R",451,"R",25,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1824,"A",,"A",,"A",,"R",406,"R",90,"R",13537601,"R",752,"R",182,"R",40,"R",3269,"R",18,"R",4,"R",1822,"R",380,"R",84,"R",5304,"R",289,"R",64,"R",8349,"R",393,"R",87,"R",6725,"R",159,"R",35,"R",3460,"R",23,"R",5,"R",1946,"R",235,"R",52,"R",7758,"R",54,"R",12,"R",10918,"R",451,"R",1824,"R",25
101949,"R",338,"R",27,"Z",0,"Z",0,"R",315,"R",93,"R",23,"R",7,"Z",0,"Z",0,"R",1244,"A",,"A",,"A",,"R",256,"R",76,"R",6045766,"R",157,"R",211,"R",62,"R",3014,"R",72,"R",21,"R",1367,"R",127,"R",38,"R",2861,"Z",0,"Z",0,"A",,"R",256,"R",76,"R",4288,"R",156,"R",46,"R",3812,"R",55,"R",16,"R",750,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",338,"R",1244,"R",27
101958,"R",2,"R",3,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",59,"A",,"A",,"A",,"R",2,"R",100,"R",142439,"R",48,"R",1,"R",50,"R",1577,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",2,"R",100,"R",1834,"R",1,"R",50,"R",1577,"R",1,"R",50,"R",1577,"Z",0,"Z",0,"A",,"R",2,"R",100,"R",1834,"Z",0,"Z",0,"A",,"R",2,"R",59,"R",3
101994,"R",115,"R",20,"R",3,"R",3,"R",112,"R",97,"Z",0,"Z",0,"Z",0,"Z",0,"R",584,"A",,"A",,"A",,"R",107,"R",93,"R",413506,"R",107,"R",91,"R",79,"R",2845,"R",46,"R",40,"R",1134,"R",66,"R",57,"R",1552,"Z",0,"Z",0,"A",,"R",107,"R",93,"R",3864,"R",91,"R",79,"R",2845,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",115,"R",584,"R",20
102030,"R",335,"R",12,"Z",0,"Z",0,"R",330,"R",99,"R",5,"R",1,"Z",0,"Z",0,"R",2811,"A",,"A",,"A",,"R",273,"R",81,"R",2719694,"R",1604,"R",237,"R",71,"R",3528,"R",136,"R",41,"R",1474,"R",17,"R",5,"R",1814,"Z",0,"Z",0,"A",,"R",273,"R",81,"R",3910,"R",236,"R",70,"R",3164,"R",96,"R",29,"R",931,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",335,"R",2811,"R",12
102049,"R",713,"R",25,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2860,"A",,"A",,"A",,"R",546,"R",77,"R",18685025,"R",373,"R",73,"R",10,"R",4585,"R",183,"R",26,"R",864,"R",494,"R",69,"R",10049,"R",247,"R",35,"R",5259,"R",519,"R",73,"R",10514,"R",73,"R",10,"R",2862,"R",65,"R",9,"R",1936,"R",244,"R",34,"R",4318,"R",29,"R",4,"R",8461,"R",713,"R",2860,"R",25
102058,"N",47,"N",39,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"N",119,"A",,"A",,"A",,"N",29,"N",62,"N",528534,"N",25,"N",8,"N",17,"N",2863,"N",8,"N",17,"N",3294,"N",25,"N",53,"N",5470,"N",16,"N",34,"N",3148,"N",27,"N",57,"N",6889,"N",8,"N",17,"N",2439,"N",6,"N",13,"N",566,"N",15,"N",32,"N",3224,"N",1,"N",2,"N",2000,"N",47,"N",119,"N",39
102067,"R",1125,"R",21,"Z",0,"Z",0,"R",1063,"R",94,"R",62,"R",6,"Z",0,"Z",0,"R",5323,"A",,"A",,"A",,"R",656,"R",58,"R",8168928,"R",2273,"R",462,"R",41,"R",3306,"R",74,"R",7,"R",510,"R",191,"R",17,"R",2400,"Z",0,"Z",0,"A",,"R",608,"R",54,"R",3328,"R",457,"R",41,"R",3213,"R",94,"R",8,"R",628,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",1125,"R",5323,"R",21
102076,"R",467,"R",22,"Z",0,"Z",0,"R",457,"R",98,"R",10,"R",2,"Z",0,"Z",0,"R",2158,"A",,"A",,"A",,"R",388,"R",83,"R",23904048,"R",1227,"R",254,"R",54,"R",3036,"R",23,"R",5,"R",505,"R",171,"R",37,"R",2964,"Z",0,"Z",0,"A",,"R",352,"R",75,"R",3664,"R",234,"R",50,"R",3177,"R",20,"R",4,"R",1392,"Z",0,"Z",0,"A",,"Z",0,"Z",0,"A",,"R",467,"R",2158,"R",22
102094,"R",1457,"R",14,"R",834,"R",57,"R",312,"R",21,"R",311,"R",21,"Z",0,"Z",0,"R",10690,"A",,"A",,"A",,"R",1172,"R",80,"R",19340263,"R",2847,"R",461,"R",32,"R",3494,"R",218,"R",15,"R",2468,"R",654,"R",45,"R",3880,"R",651,"R",45,"R",5402,"R",1003,"R",69,"R",4673,"R",447,"R",31,"R",3040,"R",275,"R",19,"R",916,"R",645,"R",44,"R",5120,"R",42,"R",3,"R",5095,"R",1457,"R",10690,"R",14
102234,"R",379,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1318,"A",,"A",,"A",,"R",372,"R",98,"R",18916642,"R",392,"R",106,"R",28,"R",4765,"R",165,"R",44,"R",769,"R",370,"R",98,"R",16371,"R",244,"R",64,"R",4950,"R",371,"R",98,"R",18030,"R",106,"R",28,"R",3300,"R",104,"R",27,"R",1493,"R",243,"R",64,"R",4602,"R",12,"R",3,"R",7451,"R",379,"R",1318,"R",29
