OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00100800,ATHENS STATE UNIVERSITY,AL,356111999,PUBLIC,18,19,104799,34,82405
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,PUBLIC,0,0,0,0,0
00102800,MILES COLLEGE,AL,350642697,PRIVATE,393,466,1962158,789,1769374
00104400,STILLMAN COLLEGE,AL,354031430,PRIVATE,0,0,0,0,0
00105100,UNIVERSITY OF ALABAMA,AL,354870120,PUBLIC,1072,1282,14253204,2056,13632130
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,PUBLIC,624,628,5331024,1267,4716078
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,PUBLIC,194,227,1438935,378,1350439
01019300,HERZING UNIVERSITY,AL,352094816,PROPRIETARY,0,0,0,0,0
02341000,FORTIS COLLEGE,AL,366092012,PROPRIETARY,58,62,149394,97,115404
03010600,VIRGINIA COLLEGE,AL,352095154,PROPRIETARY,88,107,731658,197,613824
03361400,FORTIS COLLEGE,AL,365353547,PROPRIETARY,26,27,79588,43,60952
00108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,PRIVATE,0,0,0,0,0
00110600,WILLIAMS BAPTIST COLLEGE,AR,724764661,PRIVATE,40,43,233740,74,231559
00573200,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,718010000,PUBLIC,0,0,0,0,0
01074100,MELLIE'S BEAUTY COLLEGE,AR,729013886,PROPRIETARY,1,1,2000,1,2000
01226000,EAST ARKANSAS COMMUNITY COLLEGE,AR,723352204,PUBLIC,8,8,21000,11,17712
02525800,LEES SCHOOL OF COSMETOLOGY,AR,721143800,PROPRIETARY,3,4,29500,6,29500
03005100,ARKANSAS BEAUTY SCHOOL,AR,722095116,PROPRIETARY,2,3,10990,6,10990
03007100,HOT SPRINGS BEAUTY COLLEGE,AR,719015432,PROPRIETARY,0,0,0,0,0
03007600,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,720324354,PROPRIETARY,11,12,66243,20,60908
03065100,ABC BEAUTY COLLEGE,AR,719234206,PROPRIETARY,1,1,5000,2,5000
03254300,MARGARET'S HAIR ACADEMY,AR,716554905,PROPRIETARY,1,1,6850,1,6850
03912300,CROSSETT SCHOOL OF COSMETOLOGY,AR,716350000,PROPRIETARY,2,2,6206,4,6206
03997300,ARKANSAS BEAUTY COLLEGE,AR,728013741,PROPRIETARY,1,1,4000,1,2000
00108100,ARIZONA STATE UNIVERSITY,AZ,852870412,PUBLIC,0,0,0,0,0
00108200,NORTHERN ARIZONA UNIVERSITY,AZ,860110001,PUBLIC,1481,1536,14947975,2679,13948351
00886400,ARIZONA ACADEMY OF BEAUTY,AZ,857125021,PROPRIETARY,5,5,30400,10,30486
00945100,BROWN MACKIE COLLEGE,AZ,857125300,PROPRIETARY,36,42,226606,98,182129
01180200,ARIZONA ACADEMY OF BEAUTY - NORTH,AZ,857052720,PROPRIETARY,5,6,32250,10,32384
01218400,INTERNATIONAL ACADEMY OF HAIR DESIGN,AZ,852257198,PROPRIETARY,40,48,174781,81,161777
02071200,KAPLAN COLLEGE,AZ,850294349,PROPRIETARY,45,57,350928,102,304635
02173300,DEVOE COLLEGE OF BEAUTY,AZ,856351832,PROPRIETARY,2,2,10200,2,10200
02181300,LONG TECHNICAL COLLEGE,AZ,850086915,PROPRIETARY,4,4,20109,5,12935
02218800,BROOKLINE COLLEGE,AZ,850191600,PROPRIETARY,0,0,0,0,0
02280500,CHARLES OF ITALY BEAUTY COLLEGE,AZ,864035770,PROPRIETARY,1,2,6500,3,6500
02491500,ART CENTER DESIGN COLLEGE (THE),AZ,857162505,PROPRIETARY,93,127,779877,201,709759
02582700,CORTIVA INSTITUTE - TUCSON,AZ,857103503,PROPRIETARY,10,11,129075,19,105626
02623600,PARADISE VALLEY COMMUNITY COLLEGE,AZ,850321210,PUBLIC,11,11,58189,18,52189
03034400,CONSERVATORY OF RECORDING ARTS & SCIENCES,AZ,852821707,PROPRIETARY,3,3,36307,5,28979
03072200,CHANDLER - GILBERT COMMUNITY COLLEGE,AZ,852252499,PUBLIC,17,17,96090,29,82622
03115000,ARIZONA COLLEGE OF ALLIED HEALTH,AZ,853023843,PROPRIETARY,0,0,0,0,0
03445300,HDS TRUCK DRIVING INSTITUTE,AZ,857069263,PROPRIETARY,2,2,6488,2,6536
03740500,ART INSTITUTE OF TUCSON (THE),AZ,857122732,PROPRIETARY,35,42,247850,108,195592
04059300,TUCSON COLLEGE OF BEAUTY,AZ,857052451,PROPRIETARY,0,0,0,0,0
00113100,CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,911250001,PRIVATE,34,34,582574,89,562344
00114000,CALIFORNIA STATE UNIVERSITY - LOS ANGELES,CA,900324226,PUBLIC,0,0,0,0,0
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,907470001,PUBLIC,0,0,0,0,0
00114200,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,924072397,PUBLIC,0,0,0,0,0
00114600,"CALIFORNIA STATE UNIVERSITY, CHICO",CA,959290001,PUBLIC,354,371,3253774,657,3126425
00114900,HUMBOLDT STATE UNIVERSITY,CA,955218299,PUBLIC,350,365,3146924,657,2953331
00115100,SAN DIEGO STATE UNIVERSITY,CA,921821690,PUBLIC,1761,1768,19236685,3291,18111807
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,941321740,PUBLIC,0,0,0,0,0
00115600,SONOMA STATE UNIVERSITY,CA,949283609,PUBLIC,692,715,8142358,1274,7449798
00116600,CITRUS COMMUNITY COLLEGE,CA,917411899,PUBLIC,22,22,152461,36,152516
00117600,WEST HILLS COMMUNITY COLLEGE,CA,932101399,PUBLIC,0,0,0,0,0
00121900,LONG BEACH CITY COLLEGE,CA,908081780,PUBLIC,0,0,0,0,0
00122300,LOS ANGELES CITY COLLEGE,CA,900293588,PUBLIC,1,1,18584,1,9530
00122400,LOS ANGELES HARBOR COLLEGE,CA,907442397,PUBLIC,0,0,0,0,0
00122600,LOS ANGELES PIERCE COLLEGE,CA,913710001,PUBLIC,0,0,0,0,0
00122800,LOS ANGELES VALLEY COLLEGE,CA,914014096,PUBLIC,0,0,0,0,0
00124500,MOUNT SAN ANTONIO COLLEGE,CA,917891399,PUBLIC,0,0,0,0,0
00124700,NAPA VALLEY COLLEGE,CA,945586236,PUBLIC,0,0,0,0,0
00126000,PALOMAR COLLEGE,CA,920691486,PUBLIC,0,0,0,0,0
00126100,PASADENA CITY COLLEGE,CA,911062003,PUBLIC,0,0,0,0,0
00127300,SAN DIEGO CITY COLLEGE,CA,921014787,PUBLIC,0,0,0,0,0
00127500,SAN DIEGO MESA COLLEGE,CA,921114996,PUBLIC,21,21,174817,33,150023
00130700,FRESNO CITY COLLEGE,CA,937410002,PUBLIC,0,0,0,0,0
00130800,REEDLEY COLLEGE,CA,936542099,PUBLIC,1,1,3000,1,3000
00131200,"UNIVERSITY OF CALIFORNIA, BERKELEY",CA,947201520,PUBLIC,2067,2405,25354248,4082,24072033
00131300,"UNIVERSITY OF CALIFORNIA, DAVIS",CA,956168558,PUBLIC,1396,1486,15778198,4019,14687964
00131400,"UNIVERSITY OF CALIFORNIA, IRVINE",CA,926970001,PUBLIC,2440,3770,29847033,9430,28066672
00131600,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",CA,925210209,PUBLIC,2088,2256,17843639,5628,16603730
00132000,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",CA,931062030,PUBLIC,2077,2400,27548852,5938,26037258
00132100,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",CA,950640001,PUBLIC,1401,1499,19149468,3900,18195516
00132500,UNIVERSITY OF SAN FRANCISCO,CA,941171080,PRIVATE,852,897,16876607,1663,16306481
00132600,SANTA CLARA UNIVERSITY,CA,950534956,PRIVATE,0,0,0,0,0
00132900,UNIVERSITY OF THE PACIFIC,CA,952110197,PRIVATE,417,447,6900781,815,6680418
00713000,NEWBERRY SCHOOLS OF BEAUTY,CA,913447404,PROPRIETARY,29,29,144179,47,121490
00716400,BRYAN COLLEGE,CA,900102501,PROPRIETARY,30,39,242641,69,219894
00720300,SALON SUCCESS ACADEMY,CA,917864060,PROPRIETARY,14,14,50688,23,50458
00720400,MODERN BEAUTY ACADEMY - OXNARD,CA,930307016,PROPRIETARY,2,2,5860,2,5860
00722900,WESTERN BEAUTY INSTITUTE,CA,914023104,PROPRIETARY,13,14,60259,24,57652
00725300,FEDERICO BEAUTY INSTITUTE,CA,958341905,PROPRIETARY,43,49,199236,79,190798
00747600,MARINELLO SCHOOLS OF BEAUTY,CA,900232666,PROPRIETARY,282,287,1987538,485,1734082
00753100,ACADEMY OF ART UNIVERSITY,CA,941053410,PROPRIETARY,1168,1463,22281962,2232,20364200
00799300,"CALIFORNIA STATE UNIVERSITY, BAKERSFIELD",CA,933111022,PUBLIC,118,120,905085,295,785443
01169600,NATIONAL POLYTECHNIC COLLEGE OF SCIENCE,CA,907446399,PRIVATE,0,0,0,0,0
01170700,NORTH-WEST COLLEGE,CA,917902097,PROPRIETARY,64,76,414571,76,379990
01182000,SAN DIEGO MIRAMAR COLLEGE,CA,921262999,PUBLIC,4,4,30099,6,30099
01265000,MARINELLO SCHOOL OF BEAUTY,CA,915022828,PROPRIETARY,36,36,213367,69,205987
01265100,MARINELLO SCHOOL OF BEAUTY,CA,917481674,PROPRIETARY,26,28,129260,51,119585
01287200,NORTH-WEST COLLEGE,CA,917683199,PROPRIETARY,29,31,161720,31,134468
01291100,MARINELLO SCHOOL OF BEAUTY,CA,926462552,PROPRIETARY,22,22,168882,35,135737
01298400,PROFESSIONAL INSTITUTE OF BEAUTY,CA,917312613,PROPRIETARY,0,0,0,0,0
01298900,OCEANSIDE COLLEGE OF BEAUTY,CA,920545393,PROPRIETARY,1,1,3271,1,1636
01301000,LANCASTER BEAUTY SCHOOL,CA,935343098,PROPRIETARY,4,5,31751,6,26682
01309500,SALON SUCCESS ACADEMY,CA,928796561,PROPRIETARY,17,17,81266,24,78235
02054900,MARINELLO SCHOOL OF BEAUTY,CA,926304748,PROPRIETARY,5,5,45890,7,37416
02086400,MARINELLO SCHOOL OF BEAUTY,CA,950504808,PROPRIETARY,0,0,0,0,0
02091700,KAPLAN COLLEGE,CA,921231509,PROPRIETARY,0,0,0,0,0
02120700,SAN JOAQUIN VALLEY COLLEGE,CA,932919283,PROPRIETARY,800,1010,7904214,1730,7542093
02125000,CAREER ACADEMY OF BEAUTY,CA,928452032,PROPRIETARY,12,12,69950,22,64494
02128200,VICTOR VALLEY BEAUTY COLLEGE,CA,923923821,PROPRIETARY,13,14,60963,25,50780
