OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00297600,UNIVERSITY OF NORTH CAROLINA - GREENSBORO,NC,274120001,PUBLIC,1157,1252,8220366,2179,7696852
00297800,WAKE FOREST UNIVERSITY,NC,271097246,PRIVATE,327,348,4737145,634,4638565
00297900,WARREN WILSON COLLEGE,NC,287782099,PRIVATE,109,112,1010526,199,925619
00298000,WAYNE COMMUNITY COLLEGE,NC,275338212,PUBLIC,2,2,5000,4,5000
00298200,WESTERN PIEDMONT COMMUNITY COLLEGE,NC,286554504,PUBLIC,0,0,0,0,0
00298300,WILKES COMMUNITY COLLEGE,NC,286972100,PUBLIC,0,0,0,0,0
00298500,WINGATE UNIVERSITY,NC,281740159,PRIVATE,168,184,1355232,344,1292322
00298600,WINSTON - SALEM STATE UNIVERSITY,NC,271100001,PUBLIC,148,159,933114,296,907864
00398100,UNIVERSITY OF NORTH CAROLINA SCHOOL OF THE ARTS,NC,271272188,PUBLIC,1,1,15000,3,15000
00403300,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE,NC,288014897,PUBLIC,3,3,9086,5,9086
00406200,PITT COMMUNITY COLLEGE,NC,285900000,PUBLIC,30,33,153465,58,146892
00483500,CALDWELL COMMUNITY COLLEGE & TECHNICAL INSTITUTE,NC,286382626,PUBLIC,5,6,25090,12,25090
00483800,GUILFORD TECHNICAL COMMUNITY COLLEGE,NC,272820309,PUBLIC,9,11,43908,20,41408
00484400,WAKE TECHNICAL COMMUNITY COLLEGE,NC,276035696,PUBLIC,19,20,67562,37,64939
00484500,WILSON COMMUNITY COLLEGE,NC,278933310,PUBLIC,0,0,0,0,0
00531800,CATAWBA VALLEY COMMUNITY COLLEGE,NC,286028302,PUBLIC,7,7,13050,9,10050
00532000,CAPE FEAR COMMUNITY COLLEGE,NC,284013910,PUBLIC,29,29,147071,48,137611
00544700,RANDOLPH COMMUNITY COLLEGE,NC,272050000,PUBLIC,1,1,3500,2,3500
00544900,CENTRAL CAROLINA COMMUNITY COLLEGE,NC,273309000,PUBLIC,1,1,2000,2,2000
00647700,CABARRUS COLLEGE OF HEALTH SCIENCES,NC,280253959,PRIVATE,2,2,8700,4,8700
00647800,MERCY SCHOOL OF NURSING,NC,282736631,PUBLIC,0,0,0,0,0
00648200,PRESBYTERIAN HOSPITAL SCHOOL OF NURSING,NC,282042429,PRIVATE,1,1,1500,1,1500
00648300,WATTS SCHOOL OF NURSING,NC,277052505,PRIVATE,1,1,1450,1,1450
00679900,CRAVEN COMMUNITY COLLEGE,NC,285624984,PUBLIC,0,0,0,0,0
00764000,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,NC,283030236,PUBLIC,3,5,9795,7,9045
00768700,JAMES SPRUNT COMMUNITY COLLEGE,NC,283490398,PUBLIC,0,0,0,0,0
00781400,BROOKSTONE COLLEGE OF BUSINESS,NC,282620000,PROPRIETARY,15,16,73398,24,54668
00798600,HALIFAX COMMUNITY COLLEGE,NC,278900089,PUBLIC,0,0,0,0,0
00798800,MARTIN COMMUNITY COLLEGE,NC,278928307,PUBLIC,0,0,0,0,0
00808100,CARTERET COMMUNITY COLLEGE,NC,285572989,PUBLIC,0,0,0,0,0
00808300,HAYWOOD COMMUNITY COLLEGE,NC,287210000,PUBLIC,3,3,12502,3,9151
00846600,SOUTHWESTERN COMMUNITY COLLEGE,NC,287798581,PUBLIC,1,1,3500,1,3500
00855800,BEAUFORT COUNTY COMMUNITY COLLEGE,NC,278897889,PUBLIC,1,1,1200,1,600
00861300,ROANOKE CHOWAN COMMUNITY COLLEGE,NC,279109522,PUBLIC,0,0,0,0,0
00885500,EDGECOMBE COMMUNITY COLLEGE,NC,278869399,PUBLIC,0,0,0,0,0
00902500,EMPIRE BEAUTY SCHOOL,NC,281052508,PROPRIETARY,15,16,146530,31,146530
00933600,JOHNSTON COMMUNITY COLLEGE,NC,275770000,PUBLIC,2,2,10600,3,10600
