unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
188137,"R",122,"R",4,"R",93,"R",76,"R",21,"R",17,"R",8,"R",7,"R",0,"R",0,"R",3076,"B",,"B",,"B",,"R",114,"R",93,"R",63,"R",52,"R",1800,"R",112,"R",92,"R",500,"R",47,"R",39,"R",185,"R",8,"R",7,"R",2000
188146,"R",309,"R",24,"B",,"B",,"B",,"B",,"B",,"B",,"R",309,"R",100,"R",1312,"B",,"B",,"B",,"R",212,"R",69,"R",88,"R",28,"R",2793,"R",46,"R",15,"R",3583,"R",145,"R",47,"R",4160,"R",140,"R",45,"R",4930
188182,"R",30,"R",7,"B",,"B",,"B",,"B",,"B",,"B",,"R",30,"R",100,"R",450,"B",,"B",,"B",,"R",6,"R",20,"R",6,"R",20,"R",1362,"R",4,"R",13,"R",1031,"R",2,"R",7,"H",,"R",6,"R",20,"R",3047
188216,"R",265,"R",41,"R",0,"R",0,"R",144,"R",54,"R",121,"R",46,"R",0,"R",0,"R",643,"B",,"B",,"B",,"R",214,"R",81,"R",214,"R",81,"R",1527,"R",39,"R",15,"R",560,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
188225,"R",93,"R",9,"R",1,"R",1,"R",87,"R",94,"R",5,"R",5,"R",0,"R",0,"R",987,"B",,"B",,"B",,"R",69,"R",74,"R",53,"R",57,"R",2495,"R",19,"R",20,"R",468,"R",34,"R",37,"R",384,"R",22,"R",24,"R",3193
188261,"R",87,"R",24,"R",0,"R",0,"R",81,"R",93,"R",6,"R",7,"R",0,"R",0,"R",368,"B",,"B",,"B",,"R",61,"R",70,"R",54,"R",62,"R",2317,"R",31,"R",36,"R",420,"R",14,"R",16,"R",807,"R",0,"R",0,"R",0
188304,"R",264,"R",13,"R",185,"R",70,"R",15,"R",6,"R",64,"R",24,"R",0,"R",0,"R",2016,"B",,"B",,"B",,"R",242,"R",92,"R",138,"R",52,"R",1357,"R",93,"R",35,"R",913,"R",45,"R",17,"R",674,"R",14,"R",5,"R",1131
188322,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",225,"R",53,"R",425,"R",225,"R",100,"R",225,"R",100,"R",3300,"R",0,"R",0,"R",0,"R",1,"R",0,"H",,"R",225,"R",100,"R",6425
188429,"R",532,"R",25,"B",,"B",,"B",,"B",,"B",,"B",,"R",532,"R",100,"R",2100,"B",,"B",,"B",,"R",395,"R",74,"R",150,"R",28,"R",3445,"R",205,"R",39,"R",2797,"R",370,"R",70,"R",5853,"R",307,"R",58,"R",3219
188438,"R",591,"R",19,"A",,"B",,"R",585,"R",99,"R",6,"R",1,"R",0,"R",0,"R",3167,"B",,"B",,"B",,"R",411,"R",70,"R",266,"R",45,"R",978,"R",359,"R",61,"R",486,"R",28,"R",5,"R",805,"R",167,"R",28,"R",1013
188465,"R",51,"R",9,"B",,"B",,"B",,"B",,"B",,"B",,"R",51,"R",100,"R",580,"B",,"B",,"B",,"R",48,"R",94,"R",48,"R",94,"R",2850,"R",40,"R",78,"R",3962,"R",0,"R",0,"R",0,"R",15,"R",29,"R",2625
188517,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",50,"R",20,"R",250,"R",46,"R",92,"R",37,"R",74,"R",801,"R",33,"R",66,"R",1370,"R",25,"R",50,"R",708,"R",43,"R",86,"R",846
188526,"R",100,"R",16,"B",,"B",,"B",,"B",,"B",,"B",,"R",100,"R",100,"R",629,"B",,"B",,"B",,"R",92,"R",92,"R",24,"R",24,"R",3403,"R",63,"R",63,"R",2328,"R",87,"R",87,"R",2567,"R",79,"R",79,"R",5734
188641,"R",350,"R",26,"B",,"B",,"B",,"B",,"B",,"B",,"R",350,"R",100,"R",1357,"B",,"B",,"B",,"R",333,"R",95,"R",140,"R",40,"R",2718,"R",200,"R",57,"R",2500,"R",333,"R",95,"R",12742,"R",303,"R",87,"R",4050
188650,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",328,"R",100,"R",328,"R",259,"R",79,"R",256,"R",78,"R",1668,"R",174,"R",53,"R",2830,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
188669,"R",16,"R",27,"B",,"B",,"B",,"B",,"B",,"B",,"R",16,"R",100,"R",60,"B",,"B",,"B",,"R",7,"R",44,"R",5,"R",31,"R",3110,"R",0,"R",0,"R",0,"R",6,"R",38,"R",1220,"R",8,"R",50,"R",5659
188678,"R",64,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",64,"R",100,"R",221,"B",,"B",,"B",,"R",41,"R",64,"R",21,"R",33,"R",1570,"R",3,"R",5,"R",2320,"R",8,"R",13,"R",1500,"R",34,"R",53,"R",6945
188687,"R",47,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",47,"R",100,"R",164,"B",,"B",,"B",,"R",37,"R",79,"R",37,"R",79,"R",5384,"R",21,"R",45,"R",3041,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
188696,"R",25,"R",54,"B",,"B",,"B",,"B",,"B",,"B",,"R",25,"R",100,"R",46,"B",,"B",,"B",,"R",2,"R",8,"R",2,"R",8,"H",,"R",0,"R",0,"R",0,"R",2,"R",8,"H",,"R",0,"R",0,"R",0
188854,"R",307,"R",56,"B",,"B",,"B",,"B",,"B",,"B",,"R",307,"R",100,"R",552,"B",,"B",,"B",,"R",253,"R",82,"R",87,"R",28,"R",2000,"R",4,"R",1,"R",2000,"R",168,"R",55,"R",3000,"R",149,"R",49,"R",2625
188890,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",821,"R",72,"R",1133,"R",700,"R",85,"R",572,"R",70,"R",2120,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",448,"R",55,"R",4198
188915,"R",22,"R",100,"B",,"B",,"B",,"B",,"B",,"B",,"R",22,"R",100,"R",22,"B",,"B",,"B",,"R",22,"R",100,"R",16,"R",73,"R",2551,"R",15,"R",68,"R",1920,"R",9,"R",41,"R",2836,"R",13,"R",59,"R",2791
