unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
100654,"R",1111,"R",26,"R",0,"R",0,"R",649,"R",58,"R",462,"R",42,"R",0,"R",0,"R",4332,"R",,"R",,"R",,"R",871,"R",78,"R",801,"R",72,"R",2676,"R",2,"R",0,"H",,"R",92,"R",8,"R",2903,"R",1,"R",0,"H",
100663,"R",1147,"R",11,"R",0,"R",0,"R",1050,"R",92,"R",97,"R",8,"R",0,"R",0,"R",10420,"B",,"B",,"B",,"R",700,"R",61,"R",319,"R",28,"R",2542,"R",403,"R",35,"R",1125,"R",541,"R",47,"R",1500,"R",397,"R",35,"R",2726
100706,"R",538,"R",10,"A",,"B",,"R",451,"R",84,"R",87,"R",16,"R",0,"R",0,"R",5513,"B",,"B",,"B",,"R",486,"R",90,"R",92,"R",17,"R",2419,"R",142,"R",26,"R",1795,"R",389,"R",72,"R",1621,"R",160,"R",30,"R",2812
100724,"R",1173,"R",29,"R",219,"R",19,"R",598,"R",51,"R",356,"R",30,"R",0,"R",0,"R",4030,"B",,"B",,"B",,"R",1034,"R",88,"R",779,"R",66,"R",2265,"R",118,"R",10,"R",1657,"R",115,"R",10,"R",3088,"R",901,"R",77,"R",3406
100751,"R",2695,"R",18,"R",0,"R",0,"R",2129,"R",79,"R",566,"R",21,"R",0,"R",0,"R",14645,"B",,"B",,"B",,"R",1809,"R",67,"R",494,"R",18,"R",2623,"R",28,"R",1,"R",700,"R",1258,"R",47,"R",3807,"R",972,"R",36,"R",3506
100760,"R",368,"R",22,"R",336,"R",91,"R",0,"R",0,"R",12,"R",3,"R",20,"R",5,"R",1636,"B",,"B",,"B",,"R",291,"R",79,"R",130,"R",35,"R",933,"R",17,"R",5,"R",338,"R",169,"R",46,"R",898,"R",0,"R",0,"R",0
100830,"R",632,"R",21,"R",0,"R",0,"R",600,"R",95,"R",32,"R",5,"R",0,"R",0,"R",3003,"B",,"B",,"B",,"R",315,"R",50,"R",192,"R",30,"R",2493,"R",10,"R",2,"R",470,"R",72,"R",11,"R",2005,"R",210,"R",33,"R",3073
100858,"R",3653,"R",20,"A",,"B",,"R",2325,"R",64,"R",1328,"R",36,"R",0,"R",0,"R",18669,"B",,"B",,"B",,"R",1774,"R",49,"R",365,"R",10,"R",2283,"R",468,"R",13,"R",1639,"R",609,"R",17,"R",4480,"R",1161,"R",32,"R",2960
100919,"R",178,"R",13,"A",,"B",,"R",178,"R",100,"R",0,"R",0,"R",0,"R",0,"R",1379,"B",,"B",,"B",,"R",133,"R",75,"R",99,"R",56,"R",2177,"R",24,"R",13,"R",1450,"R",43,"R",24,"R",1071,"R",0,"R",0,"R",0
100937,"R",303,"R",22,"B",,"B",,"B",,"B",,"B",,"B",,"R",303,"R",100,"R",1395,"B",,"B",,"B",,"R",277,"R",91,"R",35,"R",12,"R",2180,"R",180,"R",59,"R",732,"R",256,"R",84,"R",6000,"R",167,"R",55,"R",3105
100973,"R",29,"R",19,"R",0,"R",0,"R",28,"R",97,"R",1,"R",3,"R",0,"R",0,"R",156,"B",,"B",,"B",,"R",19,"R",66,"R",19,"R",66,"R",1100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
101028,"R",296,"R",17,"R",0,"R",0,"R",140,"R",47,"R",85,"R",29,"R",71,"R",24,"R",1735,"B",,"B",,"B",,"R",224,"R",76,"R",177,"R",60,"R",2270,"R",9,"R",3,"R",600,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
101073,"R",154,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",154,"R",100,"R",525,"B",,"B",,"B",,"R",154,"R",100,"R",114,"R",74,"R",1374,"R",98,"R",64,"R",384,"R",154,"R",100,"R",3000,"R",0,"R",0,"R",0
101107,"R",248,"R",45,"R",0,"R",0,"R",239,"R",96,"R",9,"R",4,"R",0,"R",0,"R",555,"B",,"B",,"B",,"R",243,"R",98,"R",189,"R",76,"R",3424,"R",48,"R",19,"R",881,"R",135,"R",54,"R",1810,"R",0,"R",0,"R",0
101116,"R",29,"R",14,"B",,"B",,"B",,"B",,"B",,"B",,"R",29,"R",100,"R",208,"B",,"B",,"B",,"R",26,"R",90,"R",26,"R",90,"R",2208,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",24,"R",83,"R",2793
101143,"R",279,"R",17,"R",0,"R",0,"R",273,"R",98,"R",6,"R",2,"R",0,"R",0,"R",1652,"B",,"B",,"B",,"R",209,"R",75,"R",115,"R",41,"R",1341,"R",48,"R",17,"R",531,"R",83,"R",30,"R",1061,"R",13,"R",5,"R",1081
101161,"R",714,"R",25,"R",348,"R",49,"R",340,"R",48,"R",26,"R",4,"R",0,"R",0,"R",2854,"B",,"B",,"B",,"R",413,"R",58,"R",368,"R",52,"R",1659,"R",53,"R",7,"R",1206,"R",202,"R",28,"R",2252,"R",0,"R",0,"R",0
101189,"R",304,"R",19,"B",,"B",,"B",,"B",,"B",,"B",,"R",304,"R",100,"R",1588,"B",,"B",,"B",,"R",279,"R",92,"R",139,"R",46,"R",3400,"R",198,"R",65,"R",760,"R",209,"R",69,"R",1900,"R",224,"R",74,"R",2625
101240,"R",930,"R",19,"R",0,"R",0,"R",879,"R",95,"R",51,"R",5,"R",0,"R",0,"R",4884,"B",,"B",,"B",,"R",783,"R",84,"R",477,"R",51,"R",2185,"R",59,"R",6,"R",698,"R",247,"R",27,"R",1548,"R",0,"R",0,"R",0
101286,"R",644,"R",21,"R",23,"R",4,"R",596,"R",93,"R",21,"R",3,"R",4,"R",1,"R",3019,"B",,"B",,"B",,"R",440,"R",68,"R",285,"R",44,"R",2002,"R",142,"R",22,"R",1535,"R",0,"R",0,"R",0,"R",13,"R",2,"R",292
101295,"R",802,"R",17,"R",0,"R",0,"R",668,"R",83,"R",53,"R",7,"R",81,"R",10,"R",4628,"B",,"B",,"B",,"R",349,"R",44,"R",251,"R",31,"R",1154,"R",6,"R",1,"R",350,"R",92,"R",11,"R",594,"R",0,"R",0,"R",0
101301,"R",359,"R",24,"R",0,"R",0,"R",359,"R",100,"R",0,"R",0,"R",0,"R",0,"R",1514,"B",,"B",,"B",,"R",311,"R",87,"R",144,"R",40,"R",1045,"R",52,"R",14,"R",366,"R",59,"R",16,"R",950,"R",0,"R",0,"R",0
101347,"R",310,"R",32,"R",0,"R",0,"R",310,"R",100,"R",0,"R",0,"R",0,"R",0,"R",966,"B",,"B",,"B",,"R",218,"R",70,"R",158,"R",51,"R",2465,"R",14,"R",5,"R",1311,"R",48,"R",15,"R",2010,"R",0,"R",0,"R",0
101365,"R",95,"R",18,"B",,"B",,"B",,"B",,"B",,"B",,"R",95,"R",100,"R",536,"B",,"B",,"B",,"R",44,"R",46,"R",27,"R",28,"R",2311,"R",0,"R",0,"R",0,"R",1,"R",1,"H",,"R",41,"R",43,"R",3000
101435,"R",162,"R",23,"B",,"B",,"B",,"B",,"B",,"B",,"R",162,"R",100,"R",705,"B",,"B",,"B",,"R",159,"R",98,"R",43,"R",27,"R",1998,"R",109,"R",67,"R",1142,"R",155,"R",96,"R",5490,"R",93,"R",57,"R",3078
101453,"R",7,"R",11,"B",,"B",,"B",,"B",,"B",,"B",,"R",7,"R",100,"R",63,"B",,"B",,"B",,"R",2,"R",29,"R",2,"R",29,"H",,"R",0,"R",0,"R",0,"R",2,"R",29,"H",,"R",2,"R",29,"H",
101462,"R",63,"R",10,"R",0,"R",0,"R",51,"R",81,"R",12,"R",19,"R",0,"R",0,"R",611,"B",,"B",,"B",,"R",56,"R",89,"R",37,"R",59,"R",2203,"R",11,"R",17,"R",1536,"R",18,"R",29,"R",1216,"R",0,"R",0,"R",0
101471,"R",239,"R",31,"R",0,"R",0,"R",239,"R",100,"R",0,"R",0,"R",0,"R",0,"R",765,"B",,"B",,"B",,"R",239,"R",100,"R",0,"R",0,"R",0,"R",239,"R",100,"R",600,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
101480,"R",1042,"R",16,"D",,"B",,"R",886,"R",85,"R",156,"R",15,"R",0,"R",0,"R",6640,"B",,"B",,"B",,"R",811,"R",78,"R",279,"R",27,"R",2194,"R",12,"R",1,"R",383,"R",329,"R",32,"R",2527,"R",333,"R",32,"R",2574
101499,"R",292,"R",25,"R",135,"R",46,"R",108,"R",37,"R",49,"R",17,"R",0,"R",0,"R",1159,"B",,"B",,"B",,"R",210,"R",72,"R",138,"R",47,"R",2034,"R",38,"R",13,"R",1313,"R",109,"R",37,"R",1788,"R",6,"R",2,"R",538
101505,"R",306,"R",6,"A",,"B",,"R",295,"R",96,"R",11,"R",4,"R",0,"R",0,"R",5408,"B",,"B",,"B",,"R",185,"R",60,"R",113,"R",37,"R",2785,"R",25,"R",8,"R",540,"R",61,"R",20,"R",1654,"R",58,"R",19,"R",2066
101514,"R",919,"R",12,"R",675,"R",73,"R",208,"R",23,"R",23,"R",3,"R",13,"R",1,"R",7405,"B",,"B",,"B",,"R",441,"R",48,"R",281,"R",31,"R",1218,"R",27,"R",3,"R",454,"R",277,"R",30,"R",635,"R",137,"R",15,"R",1282
101523,"R",170,"R",17,"R",170,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",979,"B",,"B",,"B",,"R",159,"R",94,"R",76,"R",45,"R",2034,"R",58,"R",34,"R",1059,"R",25,"R",15,"R",1498,"R",0,"R",0,"R",0
101541,"R",79,"R",26,"B",,"B",,"B",,"B",,"B",,"B",,"R",79,"R",100,"R",308,"B",,"B",,"B",,"R",79,"R",100,"R",32,"R",41,"R",1853,"R",66,"R",84,"R",781,"R",77,"R",97,"R",3594,"R",58,"R",73,"R",2388
101569,"R",113,"R",7,"R",0,"R",0,"R",112,"R",99,"R",1,"R",1,"R",0,"R",0,"R",1583,"B",,"B",,"B",,"R",113,"R",100,"R",113,"R",100,"R",1563,"R",12,"R",11,"R",300,"R",32,"R",28,"R",576,"R",0,"R",0,"R",0
101587,"R",322,"R",19,"R",0,"R",0,"R",277,"R",86,"R",45,"R",14,"R",0,"R",0,"R",1681,"B",,"B",,"B",,"R",285,"R",89,"R",130,"R",40,"R",2310,"R",55,"R",17,"R",1494,"R",178,"R",55,"R",2846,"R",184,"R",57,"R",1119
101602,"R",269,"R",32,"R",9,"R",3,"R",241,"R",90,"R",19,"R",7,"R",0,"R",0,"R",834,"B",,"B",,"B",,"R",228,"R",85,"R",112,"R",42,"R",2446,"R",77,"R",29,"R",977,"R",123,"R",46,"R",1719,"A",,"B",,"A",
101648,"R",89,"R",63,"B",,"B",,"B",,"B",,"B",,"B",,"R",89,"R",100,"R",141,"B",,"B",,"B",,"R",86,"R",97,"R",26,"R",29,"R",2655,"R",0,"R",0,"R",0,"R",76,"R",85,"R",2605,"R",0,"R",0,"R",0
101675,"R",319,"R",22,"B",,"B",,"B",,"B",,"B",,"B",,"R",319,"R",100,"R",1453,"B",,"B",,"B",,"R",290,"R",91,"R",287,"R",90,"R",2326,"R",250,"R",78,"R",721,"R",70,"R",22,"R",1841,"R",290,"R",91,"R",2025
101693,"R",246,"R",14,"B",,"B",,"B",,"B",,"B",,"B",,"R",246,"R",100,"R",1772,"B",,"B",,"B",,"R",227,"R",92,"R",209,"R",85,"R",2876,"R",151,"R",61,"R",1100,"R",198,"R",80,"R",3679,"R",227,"R",92,"R",2416
101709,"R",526,"R",20,"R",0,"R",0,"R",506,"R",96,"R",20,"R",4,"R",0,"R",0,"R",2691,"B",,"B",,"B",,"R",400,"R",76,"R",45,"R",9,"R",1332,"R",56,"R",11,"R",3066,"R",219,"R",42,"R",2904,"R",46,"R",9,"R",2633
101736,"R",691,"R",17,"R",25,"R",4,"R",654,"R",95,"R",9,"R",1,"R",3,"R",0,"R",4012,"B",,"B",,"B",,"R",505,"R",73,"R",362,"R",52,"R",954,"R",252,"R",36,"R",787,"R",88,"R",13,"R",565,"R",26,"R",4,"R",1177
101879,"R",790,"R",15,"R",0,"R",0,"R",640,"R",81,"R",150,"R",19,"R",0,"R",0,"R",5099,"B",,"B",,"B",,"R",651,"R",82,"R",220,"R",28,"R",2195,"R",50,"R",6,"R",1179,"R",367,"R",46,"R",1498,"R",345,"R",44,"R",2772
101897,"R",361,"R",23,"R",3,"R",1,"R",350,"R",97,"R",2,"R",1,"R",6,"R",2,"R",1601,"B",,"B",,"B",,"R",316,"R",88,"R",176,"R",49,"R",1788,"R",47,"R",13,"R",310,"R",210,"R",58,"R",1380,"R",0,"R",0,"R",0
101912,"R",395,"R",23,"B",,"B",,"B",,"B",,"B",,"B",,"R",395,"R",100,"R",1736,"B",,"B",,"B",,"R",395,"R",100,"R",395,"R",100,"R",2278,"R",100,"R",25,"R",656,"R",395,"R",100,"R",2100,"R",395,"R",100,"R",3859
101949,"R",403,"R",33,"R",0,"R",0,"R",384,"R",95,"R",19,"R",5,"R",0,"R",0,"R",1240,"B",,"B",,"B",,"R",330,"R",82,"R",268,"R",67,"R",1881,"R",75,"R",19,"R",1032,"R",170,"R",42,"R",1844,"R",0,"R",0,"R",0
101958,"R",6,"R",7,"B",,"B",,"B",,"B",,"B",,"B",,"R",6,"R",100,"R",92,"B",,"B",,"B",,"R",4,"R",67,"R",3,"R",50,"R",1708,"R",1,"R",17,"H",,"R",0,"R",0,"R",0,"R",4,"R",67,"R",5625
101994,"R",119,"R",17,"R",6,"R",5,"R",113,"R",95,"R",0,"R",0,"R",0,"R",0,"R",702,"B",,"B",,"B",,"R",111,"R",93,"R",80,"R",67,"R",1765,"R",8,"R",7,"R",1740,"R",18,"R",15,"R",1216,"R",0,"R",0,"R",0
102030,"R",633,"R",17,"R",9,"R",1,"R",606,"R",96,"R",18,"R",3,"R",0,"R",0,"R",3701,"B",,"B",,"B",,"R",371,"R",59,"R",317,"R",50,"R",2645,"R",67,"R",11,"R",843,"R",94,"R",15,"R",1987,"R",0,"R",0,"R",0
102049,"R",671,"R",24,"B",,"B",,"B",,"B",,"B",,"B",,"R",671,"R",100,"R",2855,"B",,"B",,"B",,"R",571,"R",85,"R",68,"R",10,"R",3172,"R",229,"R",34,"R",762,"R",522,"R",78,"R",5124,"R",289,"R",43,"R",3416
102067,"R",933,"R",19,"A",,"B",,"R",30,"R",3,"R",2,"R",0,"R",901,"R",97,"R",5022,"B",,"B",,"B",,"R",859,"R",92,"R",692,"R",74,"R",1191,"R",336,"R",36,"R",211,"R",234,"R",25,"R",682,"D",,"B",,"R",0
102076,"R",400,"R",24,"R",2,"R",1,"R",398,"R",100,"R",0,"R",0,"R",0,"R",0,"R",1676,"B",,"B",,"B",,"R",321,"R",80,"R",136,"R",34,"R",2271,"R",236,"R",59,"R",1473,"R",56,"R",14,"R",588,"R",0,"R",0,"R",0
102094,"R",874,"R",15,"R",470,"R",54,"R",234,"R",27,"R",170,"R",19,"R",0,"R",0,"R",5715,"B",,"B",,"B",,"R",540,"R",62,"R",230,"R",26,"R",2380,"R",23,"R",3,"R",484,"R",188,"R",22,"R",1814,"R",360,"R",41,"R",3351
102234,"R",299,"R",30,"B",,"B",,"B",,"B",,"B",,"B",,"R",299,"R",100,"R",987,"B",,"B",,"B",,"R",279,"R",93,"R",62,"R",21,"R",3044,"R",126,"R",42,"R",1027,"R",274,"R",92,"R",8895,"R",185,"R",62,"R",3560
102261,"R",50,"R",28,"B",,"B",,"B",,"B",,"B",,"B",,"R",50,"R",100,"R",181,"B",,"B",,"B",,"R",41,"R",82,"R",18,"R",36,"R",2406,"R",0,"R",0,"R",0,"R",32,"R",64,"R",1910,"R",23,"R",46,"R",4919
102270,"R",705,"R",48,"B",,"B",,"B",,"B",,"B",,"B",,"R",705,"R",100,"R",1458,"B",,"B",,"B",,"R",653,"R",93,"R",525,"R",74,"R",2422,"R",490,"R",70,"R",700,"R",124,"R",18,"R",5323,"R",572,"R",81,"R",2421
102298,"R",78,"R",17,"B",,"B",,"B",,"B",,"B",,"B",,"R",78,"R",100,"R",455,"B",,"B",,"B",,"R",74,"R",95,"R",66,"R",85,"R",1736,"R",4,"R",5,"R",350,"R",17,"R",22,"R",2054,"R",63,"R",81,"R",1693
102313,"R",137,"R",20,"R",0,"R",0,"R",137,"R",100,"R",0,"R",0,"R",0,"R",0,"R",680,"B",,"B",,"B",,"R",97,"R",71,"R",97,"R",71,"R",2308,"R",12,"R",9,"R",437,"R",18,"R",13,"R",953,"R",0,"R",0,"R",0
102322,"R",24,"R",2,"A",,"B",,"R",24,"R",100,"R",0,"R",0,"R",0,"R",0,"R",1564,"B",,"B",,"B",,"R",17,"R",71,"R",11,"R",46,"R",1205,"R",0,"R",0,"R",0,"R",2,"R",8,"H",,"R",9,"R",38,"R",1086
102359,"R",104,"R",4,"R",0,"R",0,"R",104,"R",100,"R",0,"R",0,"R",0,"R",0,"R",2799,"B",,"B",,"B",,"R",104,"R",100,"R",103,"R",99,"R",3033,"R",8,"R",8,"R",788,"R",0,"R",0,"R",0,"R",47,"R",45,"R",2402
102368,"R",723,"R",11,"R",0,"R",0,"R",601,"R",83,"R",122,"R",17,"R",0,"R",0,"R",6288,"B",,"B",,"B",,"R",532,"R",74,"R",313,"R",43,"R",2385,"R",7,"R",1,"R",1057,"R",146,"R",20,"R",3058,"R",429,"R",59,"R",2158
102377,"R",679,"R",26,"B",,"B",,"B",,"B",,"B",,"B",,"R",679,"R",100,"R",2616,"B",,"B",,"B",,"R",620,"R",91,"R",430,"R",63,"R",2400,"R",6,"R",1,"R",2575,"R",159,"R",23,"R",2501,"R",620,"R",91,"R",4135
102429,"R",675,"R",19,"R",28,"R",4,"R",628,"R",93,"R",19,"R",3,"R",0,"R",0,"R",3554,"B",,"B",,"B",,"R",546,"R",81,"R",271,"R",40,"R",1306,"R",19,"R",3,"R",221,"R",272,"R",40,"R",923,"R",0,"R",0,"R",0
102553,"R",892,"R",6,"R",0,"R",0,"R",818,"R",92,"R",74,"R",8,"R",0,"R",0,"R",14167,"B",,"B",,"B",,"R",596,"R",67,"R",159,"R",18,"R",2187,"R",199,"R",22,"R",2110,"R",269,"R",30,"R",2634,"R",316,"R",35,"R",4815
102580,"R",8,"R",21,"B",,"B",,"B",,"B",,"B",,"B",,"R",8,"R",100,"R",39,"B",,"B",,"B",,"R",7,"R",88,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7,"R",88,"R",1075,"R",0,"R",0,"R",0
102614,"R",650,"R",11,"R",0,"R",0,"R",580,"R",89,"R",69,"R",11,"R",1,"R",0,"R",6028,"B",,"B",,"B",,"R",458,"R",70,"R",159,"R",24,"R",2505,"R",227,"R",35,"R",2443,"R",166,"R",26,"R",2590,"R",286,"R",44,"R",5652
102632,"R",96,"R",3,"R",0,"R",0,"R",81,"R",84,"R",15,"R",16,"R",0,"R",0,"R",3339,"B",,"B",,"B",,"R",76,"R",79,"R",14,"R",15,"R",2092,"R",17,"R",18,"R",1978,"R",42,"R",44,"R",2640,"R",46,"R",48,"R",4639
102669,"R",33,"R",9,"B",,"B",,"B",,"B",,"B",,"B",,"R",33,"R",100,"R",385,"B",,"B",,"B",,"R",29,"R",88,"R",13,"R",39,"R",2349,"R",1,"R",3,"H",,"R",26,"R",79,"R",6392,"R",22,"R",67,"R",4818
102711,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",265,"R",23,"R",1157,"R",209,"R",79,"R",71,"R",27,"R",2090,"R",86,"R",32,"R",2590,"R",8,"R",3,"R",361,"R",47,"R",18,"R",4176
102845,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",204,"R",25,"R",806,"R",204,"R",100,"R",48,"R",24,"R",2224,"R",14,"R",7,"R",1889,"R",7,"R",3,"R",500,"R",135,"R",66,"R",3322
103361,"R",19,"R",3,"R",0,"R",0,"R",13,"R",68,"R",6,"R",32,"R",0,"R",0,"R",745,"B",,"B",,"B",,"R",11,"R",58,"R",4,"R",21,"R",2926,"R",5,"R",26,"R",753,"R",5,"R",26,"R",1251,"R",5,"R",26,"R",4412
103440,"R",59,"R",25,"B",,"B",,"B",,"B",,"B",,"B",,"R",59,"R",100,"R",235,"B",,"B",,"B",,"R",45,"R",76,"R",20,"R",34,"R",2940,"R",9,"R",15,"R",3335,"R",39,"R",66,"R",2151,"R",38,"R",64,"R",2594
103501,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",430,"R",100,"R",430,"R",172,"R",40,"R",172,"R",40,"R",1552,"R",0,"R",0,"R",0,"R",23,"R",5,"R",395,"R",152,"R",35,"R",3544
103644,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",111,"R",34,"R",326,"R",90,"R",81,"R",87,"R",78,"R",2800,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",90,"R",81,"R",5500
103723,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",2908,"R",99,"R",2925,"R",2061,"R",71,"R",1040,"B",,"R",2492,"R",62,"B",,"R",1720,"R",17,"B",,"R",2129,"R",2061,"B",,"R",7572
103732,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",92,"R",99,"R",93,"R",61,"R",66,"R",32,"R",35,"R",1090,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",53,"R",58,"R",3789
103741,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",175,"R",98,"R",178,"R",124,"R",71,"R",88,"R",50,"R",1541,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",109,"R",62,"R",3863
103787,"R",11,"R",14,"B",,"B",,"B",,"B",,"B",,"B",,"R",11,"R",100,"R",76,"B",,"B",,"B",,"R",11,"R",100,"R",10,"R",91,"R",2262,"R",7,"R",64,"R",3841,"R",4,"R",36,"R",511,"R",2,"R",18,"H",
103811,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",384,"R",100,"R",384,"R",359,"R",93,"R",165,"R",43,"R",1623,"R",14,"R",4,"R",1742,"R",0,"R",0,"R",0,"R",352,"R",92,"R",4292
103893,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",634,"R",100,"R",634,"R",542,"R",85,"R",487,"R",77,"R",1511,"R",21,"R",3,"R",304,"R",0,"R",0,"R",0,"R",427,"R",67,"R",3709
103909,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",476,"R",100,"R",476,"R",415,"R",87,"R",363,"R",76,"R",1590,"R",13,"R",3,"R",492,"R",0,"R",0,"R",0,"R",362,"R",76,"R",3319
103927,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",488,"R",100,"R",488,"R",408,"R",84,"R",375,"R",77,"R",1471,"R",15,"R",3,"R",426,"R",0,"R",0,"R",0,"R",338,"R",69,"R",2814
103945,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",26,"R",100,"R",26,"R",25,"R",96,"R",23,"R",88,"R",2500,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",25,"R",96,"R",5500
103954,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",31,"R",53,"R",58,"R",31,"R",100,"R",27,"R",87,"R",3300,"R",0,"R",0,"R",0,"R",3,"R",10,"R",1000,"R",28,"R",90,"R",2625
103963,"R",249,"R",90,"B",,"B",,"B",,"B",,"B",,"B",,"R",249,"R",100,"R",277,"B",,"B",,"B",,"R",249,"R",100,"R",242,"R",97,"R",2562,"R",21,"R",8,"R",2500,"R",35,"R",14,"R",2000,"R",0,"R",0,"R",0
104090,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",291,"R",47,"R",620,"R",155,"R",53,"R",133,"R",46,"R",2226,"R",0,"R",0,"R",0,"R",24,"R",8,"R",120,"R",136,"R",47,"R",4646
104151,"R",5628,"R",17,"A",,"B",,"R",3587,"R",64,"R",2041,"R",36,"R",0,"R",0,"R",33948,"B",,"B",,"B",,"R",3966,"R",70,"R",861,"R",15,"R",2507,"R",231,"R",4,"R",1174,"R",2118,"R",38,"R",3079,"R",1455,"R",26,"R",3359
104160,"R",226,"R",13,"R",181,"R",80,"R",15,"R",7,"R",30,"R",13,"R",0,"R",0,"R",1787,"B",,"B",,"B",,"R",216,"R",96,"R",163,"R",72,"R",2791,"R",16,"R",7,"R",862,"R",12,"R",5,"R",965,"R",22,"R",10,"R",2692
104179,"R",4840,"R",18,"R",0,"R",0,"R",2926,"R",60,"R",1914,"R",40,"R",0,"R",0,"R",26258,"B",,"B",,"B",,"R",3292,"R",68,"R",1337,"R",28,"R",2100,"R",277,"R",6,"R",765,"R",1947,"R",40,"R",2881,"R",1563,"R",32,"R",5401
104294,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",97,"R",92,"R",105,"R",57,"R",59,"R",18,"R",19,"R",1652,"R",2,"R",2,"H",,"R",0,"R",0,"R",0,"R",56,"R",58,"R",4992
104346,"R",471,"R",10,"R",208,"R",44,"R",178,"R",38,"R",80,"R",17,"R",5,"R",1,"R",4560,"B",,"B",,"B",,"R",381,"R",81,"R",193,"R",41,"R",1125,"R",14,"R",3,"R",379,"R",316,"R",67,"R",494,"R",67,"R",14,"R",901
104364,"R",182,"R",47,"B",,"B",,"B",,"B",,"B",,"B",,"R",182,"R",100,"R",388,"B",,"B",,"B",,"R",173,"R",95,"R",154,"R",85,"R",3000,"R",2,"R",1,"H",,"R",0,"R",0,"R",0,"R",173,"R",95,"R",3400
104391,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",33,"R",100,"R",33,"R",24,"R",73,"R",22,"R",67,"R",1682,"A",,"B",,"R",0,"A",,"B",,"R",0,"R",14,"R",42,"R",1665
104425,"R",297,"R",7,"R",255,"R",86,"R",21,"R",7,"R",21,"R",7,"R",0,"R",0,"R",4000,"B",,"B",,"B",,"R",234,"R",79,"R",170,"R",57,"R",1024,"R",21,"R",7,"R",247,"R",97,"R",33,"R",357,"R",51,"R",17,"R",1115
104434,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",19,"R",100,"R",19,"R",8,"R",42,"R",4,"R",21,"R",2131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5,"R",26,"R",4347
104443,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",54,"R",96,"R",56,"R",17,"R",31,"R",13,"R",24,"R",2475,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11,"R",20,"R",2450
104504,"R",101,"R",79,"B",,"B",,"B",,"B",,"B",,"B",,"R",101,"R",100,"R",128,"B",,"B",,"B",,"R",74,"R",73,"R",45,"R",45,"R",2148,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",70,"R",69,"R",5130
