OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00112300,BROOKS INSTITUTE,CA,931031809,PROPRIETARY,299,433,9697139,1451,9283223
00112400,CABRILLO COLLEGE,CA,950033194,PUBLIC,6,7,50272,9,43472
00112500,CALIFORNIA BAPTIST UNIVERSITY,CA,925043297,PRIVATE,311,351,4307265,587,4223941
00112700,CALIFORNIA COLLEGE OF THE ARTS,CA,941072206,PRIVATE,113,125,1350258,198,1326665
00113200,CALIFORNIA INSTITUTE OF THE ARTS,CA,913552397,PRIVATE,108,119,2574207,223,2528613
00113300,CALIFORNIA LUTHERAN UNIVERSITY,CA,913602787,PRIVATE,392,430,3884115,771,3801409
00113400,CALIFORNIA MARITIME ACADEMY,CA,945908181,PUBLIC,148,152,2152649,285,2051106
00113700,"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,928313599,PUBLIC,191,205,1684186,364,1655595
00113800,"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,945423000,PUBLIC,158,171,1863338,469,1765119
00113900,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,908400006,PUBLIC,276,284,2816585,530,2762886
00114000,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,900324226,PUBLIC,24,24,238440,56,224304
00114100,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,907470001,PUBLIC,0,0,0,0,0
00114300,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,934070001,PUBLIC,1635,1760,18839922,4794,18324840
00114400,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,917682500,PUBLIC,157,159,1395223,446,1374948
00114700,"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,937408026,PUBLIC,179,186,1617275,351,1591596
00115000,CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,958196044,PUBLIC,582,595,6040481,1074,5882469
00115300,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,913308307,PUBLIC,196,202,1913030,361,1860863
00115400,SAN FRANCISCO STATE UNIVERSITY,CA,941321740,PUBLIC,892,940,11110159,1686,10832515
