OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00100800,ATHENS STATE UNIVERSITY,AL,356111999,PUBLIC,11,13,72863,24,69285
00102200,JEFFERSON STATE COMMUNITY COLLEGE,AL,352153098,PUBLIC,0,0,0,0,0
00102800,MILES COLLEGE,AL,350642697,PRIVATE,355,401,1813950,704,1624085
00105100,UNIVERSITY OF ALABAMA,AL,354870120,PUBLIC,1186,1444,17121116,2285,16497322
00105200,UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,352941150,PUBLIC,492,544,3970300,905,3857632
00105500,UNIVERSITY OF ALABAMA IN HUNTSVILLE,AL,358990001,PUBLIC,193,214,1448344,358,1380948
01019300,HERZING UNIVERSITY,AL,352094816,PROPRIETARY,0,0,0,0,0
02341000,FORTIS COLLEGE,AL,366092012,PROPRIETARY,49,53,192095,87,165126
03010600,VIRGINIA COLLEGE,AL,352095154,PROPRIETARY,186,217,1418733,439,1224659
03361400,FORTIS COLLEGE,AL,365353547,PROPRIETARY,10,10,30960,18,28317
00108700,ARKANSAS BAPTIST COLLEGE,AR,722026099,PRIVATE,35,41,206721,53,173605
00110600,WILLIAMS BAPTIST COLLEGE,AR,724764661,PRIVATE,35,36,196487,63,189867
00573200,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT HOPE,AR,718010000,PUBLIC,0,0,0,0,0
01074100,ACADEMY OF SALON AND SPA,AR,729013886,PROPRIETARY,6,6,33000,8,33000
01226000,EAST ARKANSAS COMMUNITY COLLEGE,AR,723352204,PUBLIC,7,7,20226,12,18452
02202400,PROFESSIONAL COSMETOLOGY EDUCATION CENTER,AR,717303349,PROPRIETARY,0,0,0,0,0
02525800,LEES SCHOOL OF COSMETOLOGY,AR,721143800,PROPRIETARY,3,3,28500,4,23750
03005100,ARKANSAS BEAUTY SCHOOL,AR,722095116,PROPRIETARY,0,0,0,0,0
03007100,HOT SPRINGS BEAUTY COLLEGE,AR,719015432,PROPRIETARY,0,0,0,0,0
03007600,ARKANSAS BEAUTY SCHOOL/CONWAY,AR,720324354,PROPRIETARY,7,8,31387,15,29956
03065100,ABC BEAUTY COLLEGE,AR,719234206,PROPRIETARY,0,0,0,0,0
03124900,IMAGINE -  PAUL MITCHELL PARTNER SCHOOL,AR,721172516,PROPRIETARY,3,3,19693,3,19693
03254300,MARGARET'S HAIR ACADEMY,AR,716554905,PROPRIETARY,1,1,3829,1,3829
