V6901,V6902,V7071,V7095,V7193,V7261,V7451,ER72001,ER72002,ER72022,ER72024,ER72164,ER72441,ER77631
,,,,,,,1,5965,0,4,5,0,69.823
3,6130,0,1,0,2,29,1,7694,0,1,3,1,45.227
,,,,,,,1,6801,0,5,5,0,15.812
,,,,,,,1,8299,0,4,1,0,17.02
,,,,,,,1,9515,5,5,1,6,13.337
,,,,,,,1,9043,0,2,1,0,17.992
3,6162,1,3,3,1,14,,,,,,,
,,,,,,,1,8277,0,1,1,1,10.457
,,,,,,,1,6018,11,1,1,1,18.912
,,,,,,,1,7823,0,1,1,1,16.062
3,1450,1,1,1,1,14,,,,,,,
3,432,0,1,0,4,39,,,,,,,
,,,,,,,1,9037,0,5,4,0,10.667
,,,,,,,1,7712,0,2,3,0,23.689
,,,,,,,1,8269,0,4,5,0,21.801
,,,,,,,1,5209,12,1,1,1,24.43
,,,,,,,1,4624,4,4,1,0,28.666
,,,,,,,1,7036,16,1,4,4,23.996
,,,,,,,1,8092,11,4,1,0,8.753
,,,,,,,1,4543,12,2,6,1,22.252
,,,,,,,1,8533,8,1,1,1,16.719
,,,,,,,1,7321,4,1,1,4,13.561
,,,,,,,1,8013,0,1,1,1,22.382
3,427,0,6,0,3,30,,,,,,,
,,,,,,,1,2189,1,2,1,0,10.896
,,,,,,,1,1941,1,4,1,0,10.061
3,6280,0,4,6,1,12,,,,,,,
3,5412,2,3,1,1,11,1,2342,14,1,1,1,24.905
,,,,,,,1,2232,7,1,5,4,6.513
,,,,,,,1,1659,5,1,5,1,8.712
,,,,,,,1,1989,0,4,1,6,14.126
3,2115,0,4,0,3,23,,,,,,,
,,,,,,,1,96,0,4,5,0,39.198
,,,,,,,1,889,0,5,1,0,8.752
3,346,4,1,6,1,35,1,6008,0,1,4,4,76.805
3,57,0,1,0,2,31,,,,,,,
,,,,,,,1,5452,15,1,1,6,102.9
,,,,,,,1,8705,0,2,1,0,79.468
,,,,,,,1,5910,0,1,1,1,24.325
,,,,,,,1,7885,0,1,1,1,40.035
,,,,,,,1,8310,0,1,1,1,41.491
,,,,,,,1,8022,4,1,1,1,19.014
,,,,,,,1,5506,0,2,1,1,16.747
,,,,,,,1,6839,0,1,1,1,17.645
3,620,2,1,1,1,31,,,,,,,
,,,,,,,1,5187,0,3,1,0,69.1
,,,,,,,1,5697,0,4,1,0,66.675
,,,,,,,1,8293,0,4,2,0,69.489
,,,,,,,1,6567,8,4,1,0,38.307
,,,,,,,1,9197,0,2,1,0,30.853
,,,,,,,1,6589,0,2,1,0,16.773
,,,,,,,1,8600,0,1,1,1,33.182
,,,,,,,1,6347,0,1,1,1,36.656
3,116,9,1,1,1,31,1,7627,0,3,4,0,68.083
,,,,,,,1,7487,16,1,1,6,38.046
,,,,,,,1,8925,1,1,1,6,8.885
3,1234,13,1,1,1,28,1,5436,0,1,5,4,63.208
