OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00262900,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NJ,089011281,Public,3007,3338,50571158,6039,50571158
00263200,SETON HALL UNIVERSITY,NJ,070792697,Private-Nonprofit,838,1027,20010035,1686,20010035
00263800,SAINT PETER'S UNIVERSITY,NJ,073065997,Private-Nonprofit,387,415,4476832,782,4476832
00263900,STEVENS INSTITUTE OF TECHNOLOGY,NJ,070305370,Private-Nonprofit,371,418,9638564,701,9638564
00264200,COLLEGE OF NEW JERSEY (THE),NJ,086280718,Public,418,477,7112627,817,7112627
00264300,UNION COUNTY COLLEGE,NJ,070161598,Public,27,33,143341,47,143341
00265000,UNIVERSITY OF THE SOUTHWEST,NM,882409129,Private-Nonprofit,51,52,480171,101,480171
00265100,EASTERN NEW MEXICO UNIVERSITY,NM,881306000,Public,38,43,260866,82,260866
00265300,NEW MEXICO HIGHLANDS UNIVERSITY,NM,877014436,Public,9,12,52247,22,52247
00265400,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,NM,878014796,Public,13,13,153115,24,153115
00265500,NEW MEXICO JUNIOR COLLEGE,NM,882409123,Public,-,-, -,-, -
00265600,NEW MEXICO MILITARY INSTITUTE,NM,882015173,Public,15,15,104715,24,104715
00265700,NEW MEXICO STATE UNIVERSITY,NM,880038001,Public,198,238,1752068,465,1752068
00266000,SAN JUAN COLLEGE,NM,874024699,Public,1,1,2800,2,2800
00266300,UNIVERSITY OF NEW MEXICO,NM,871310001,Public,181,222,1793998,350,1793998
00266400,WESTERN NEW MEXICO UNIVERSITY,NM,880615417,Public,26,29,222126,55,222126
00266500,VAUGHN COLLEGE OF AERONAUTICS AND TECHNOLOGY,NY,113699997,Private-Nonprofit,117,120,1782741,223,1782741
00266600,ADELPHI UNIVERSITY,NY,115304299,Private-Nonprofit,899,989,19871554,1817,19871554
00266800,ALFRED UNIVERSITY,NY,148021205,Private-Nonprofit,268,295,2942727,532,2942727
00266900,BANK STREET COLLEGE OF EDUCATION,NY,100251898,Private-Nonprofit,-,-, -,-, -
00267000,CLARKS SUMMIT UNIVERSITY,PA,184111250,Private-Nonprofit,22,28,193176,39,193176
00267100,BARD COLLEGE,NY,125045000,Private-Nonprofit,160,214,3109071,316,3109071
00267400,NEW YORK THEOLOGICAL SEMINARY,NY,101150002,Private-Nonprofit,-,-, -,-, -
00267700,BROOKLYN LAW SCHOOL,NY,112013798,Private-Nonprofit,-,-, -,-, -
00267800,BRYANT & STRATTON COLLEGE,NY,142031713,Proprietary,402,453,2895812,847,2895812
00268100,CANISIUS COLLEGE,NY,142081098,Private-Nonprofit,227,244,3055101,433,3055101
00268500,CAZENOVIA COLLEGE,NY,130351085,Private-Nonprofit,184,197,2471313,389,2471313
00268700,CUNY BROOKLYN COLLEGE,NY,112102814,Public,47,59,618907,118,618907
00268800,CITY COLLEGE OF NEW YORK - CUNY,NY,100319198,Public,70,77,927861,149,927861
00268900,CUNY HUNTER COLLEGE,NY,100655024,Public,90,101,1227843,196,1227843
00269000,CUNY QUEENS COLLEGE,NY,113671597,Public,60,71,738141,138,738141
00269100,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,NY,100071047,Public,13,16,136907,31,136907
00269200,CUNY BRONX COMMUNITY COLLEGE,NY,104533102,Public,-,-, -,-, -
00269300,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE,NY,100191093,Public,119,141,2023584,272,2023584
00269400,KINGSBOROUGH COMMMUNITY COLLEGE/CUNY,NY,112352398,Public,2,2,7500,3,7500
00269600,NEW YORK CITY COLLEGE OF TECHNOLOGY OF THE CITY UNIVERSITY OF NEW YORK,NY,112012983,Public,11,12,57375,23,57375
00269700,QUEENSBOROUGH COMMUNITY COLLEGE-CUNY,NY,113641497,Public,2,5,22162,10,22162
00269800,COLLEGE OF STATEN ISLAND/CUNY,NY,103146600,Public,117,129,863117,244,863117
00269900,CLARKSON UNIVERSITY,NY,136991403,Private-Nonprofit,421,481,8185299,878,8185299
00270000,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,NY,146072589,Private-Nonprofit,-,-, -,-, -
00270100,COLGATE UNIVERSITY,NY,133461386,Private-Nonprofit,127,150,3878778,265,3878778
00270300,COLLEGE OF MOUNT SAINT VINCENT,NY,104711093,Private-Nonprofit,305,381,4511785,663,4511785
00270400,COLLEGE OF NEW ROCHELLE (THE),NY,108052339,Private-Nonprofit,119,121,1933395,267,1922296
00270500,COLLEGE OF SAINT ROSE,NY,122031490,Private-Nonprofit,512,611,7064272,962,7064272
00270700,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,NY,100270000,Private-Nonprofit,310,342,9936344,613,9936344
00270800,BARNARD COLLEGE,NY,100276598,Private-Nonprofit,181,189,5473206,346,5473206
00270900,CONCORDIA COLLEGE,NY,107081998,Private-Nonprofit,132,162,1876477,287,1876477
00271000,COOPER UNION FOR THE ADVANCEMENT OF SCIENCE & ART (THE),NY,100037120,Private-Nonprofit,28,28,363613,53,363613
00271100,CORNELL UNIVERSITY,NY,148532801,Private-Nonprofit,631,732,17286556,1282,17286556
00271200,D'YOUVILLE COLLEGE,NY,142011084,Private-Nonprofit,184,205,2656252,351,2656252
